"","name","value.var","comp","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000074356",-0.266754158125073,1,"ENSG00000074356","NCBP3"
"2","ENSG00000092068",-0.229019175974556,1,"ENSG00000092068","SLC7A8"
"3","ENSG00000104432",0.222842462198783,1,"ENSG00000104432","IL7"
"4","ENSG00000103485",-0.216126465762826,1,"ENSG00000103485","QPRT"
"5","ENSG00000167910",0.208950328753862,1,"ENSG00000167910","CYP7A1"
"6","ENSG00000120709",-0.205466005363612,1,"ENSG00000120709","FAM53C"
"7","ENSG00000102172",-0.201791493024876,1,"ENSG00000102172","SMS"
"8","ENSG00000169914",-0.191749976925255,1,"ENSG00000169914","OTUD3"
"9","ENSG00000136810",0.180132422614761,1,"ENSG00000136810","TXN"
"10","ENSG00000029639",0.175169970317145,1,"ENSG00000029639","TFB1M"
"11","ENSG00000197555",0.173187852159027,1,"ENSG00000197555","SIPA1L1"
"12","ENSG00000127124",0.161282954250114,1,"ENSG00000127124","HIVEP3"
"13","ENSG00000108666",0.15993296188423,1,"ENSG00000108666","C17orf75"
"14","ENSG00000261857",0.14494545338004,1,"ENSG00000261857","MIA"
"15","ENSG00000113070",-0.133314956036402,1,"ENSG00000113070","HBEGF"
"16","ENSG00000113384",-0.127192124571637,1,"ENSG00000113384","GOLPH3"
"17","ENSG00000138794",0.124156439216465,1,"ENSG00000138794","CASP6"
"18","ENSG00000179144",0.123363422437076,1,"ENSG00000179144","GIMAP7"
"19","ENSG00000170893",-0.122463321409039,1,"ENSG00000170893","TRH"
"20","ENSG00000174946",0.117554430141978,1,"ENSG00000174946","GPR171"
"21","ENSG00000198934",-0.114189590035071,1,"ENSG00000198934","MAGEE1"
"22","ENSG00000213886",0.112871127913983,1,"ENSG00000213886","UBD"
"23","ENSG00000204681",0.112871127913983,1,"ENSG00000204681","GABBR1"
"24","ENSG00000231925",0.111823101547903,1,"ENSG00000231925","TAPBP"
"25","ENSG00000120738",-0.105908644905878,1,"ENSG00000120738","EGR1"
"26","ENSG00000125740",-0.105681650322434,1,"ENSG00000125740","FOSB"
"27","ENSG00000131018",0.101072068851451,1,"ENSG00000131018","SYNE1"
"28","ENSG00000100453",0.0992674990048199,1,"ENSG00000100453","GZMB"
"29","ENSG00000182378",-0.0982818999407855,1,"ENSG00000182378","PLCXD1"
"30","ENSG00000051128",-0.0973322139747571,1,"ENSG00000051128","HOMER3"
"31","ENSG00000101639",0.0964032736713313,1,"ENSG00000101639","CEP192"
"32","ENSG00000123106",0.0915265160604685,1,"ENSG00000123106","CCDC91"
"33","ENSG00000176907",-0.0892786167788708,1,"ENSG00000176907","TCIM"
"34","ENSG00000138755",0.0830258718177922,1,"ENSG00000138755","CXCL9"
"35","ENSG00000128016",-0.0824933467378827,1,"ENSG00000128016","ZFP36"
"36","ENSG00000135336",0.08051881384083,1,"ENSG00000135336","ORC3"
"37","ENSG00000162976",0.0785740253913144,1,"ENSG00000162976","SLC66A3"
"38","ENSG00000167565",-0.0764035675126044,1,"ENSG00000167565","SERTAD3"
"39","ENSG00000105717",0.0756376347059636,1,"ENSG00000105717","PBX4"
"40","ENSG00000167604",-0.0737307049738267,1,"ENSG00000167604","NFKBID"
"41","ENSG00000147231",0.0737288971755109,1,"ENSG00000147231","RADX"
"42","ENSG00000167526",-0.0732538994998476,1,"ENSG00000167526","RPL13"
"43","ENSG00000158773",-0.072917365752698,1,"ENSG00000158773","USF1"
"44","ENSG00000179833",-0.0727848893145582,1,"ENSG00000179833","SERTAD2"
"45","ENSG00000116824",0.0699981062614046,1,"ENSG00000116824","CD2"
"46","ENSG00000123685",0.0698801926585963,1,"ENSG00000123685","BATF3"
"47","ENSG00000159915",-0.0693790429847052,1,"ENSG00000159915","ZNF233"
"48","ENSG00000170345",-0.0686746706908737,1,"ENSG00000170345","FOS"
"49","ENSG00000173334",-0.0683609062825878,1,"ENSG00000173334","TRIB1"
"50","ENSG00000103888",-0.0680711903005266,1,"ENSG00000103888","CEMIP"
"51","ENSG00000100567",0.0679088294266491,1,"ENSG00000100567","PSMA3"
"52","ENSG00000221883",0.0667880134849883,1,"ENSG00000221883","ARIH2OS"
"53","ENSG00000145428",-0.0663587287396387,1,"ENSG00000145428","RNF175"
"54","ENSG00000125821",0.0655259467538746,1,"ENSG00000125821","DTD1"
"55","ENSG00000186470",0.0649634610408001,1,"ENSG00000186470","BTN3A2"
"56","ENSG00000119125",0.0642274415698625,1,"ENSG00000119125","GDA"
"57","ENSG00000156256",0.0624657644623412,1,"ENSG00000156256","USP16"
"58","ENSG00000140332",-0.0624019256824823,1,"ENSG00000140332","TLE3"
"59","ENSG00000100298",0.0617571774398419,1,"ENSG00000100298","APOBEC3H"
"60","ENSG00000144655",-0.0612661739032561,1,"ENSG00000144655","CSRNP1"
