"","name","value.var","comp","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000074356",-0.126389659477221,1,"ENSG00000074356","NCBP3"
"2","ENSG00000092068",-0.114891271746452,1,"ENSG00000092068","SLC7A8"
"3","ENSG00000104432",0.113009138885953,1,"ENSG00000104432","IL7"
"4","ENSG00000103485",-0.110962678900599,1,"ENSG00000103485","QPRT"
"5","ENSG00000167910",0.10877600751411,1,"ENSG00000167910","CYP7A1"
"6","ENSG00000120709",-0.107714284438141,1,"ENSG00000120709","FAM53C"
"7","ENSG00000102172",-0.106594608074608,1,"ENSG00000102172","SMS"
"8","ENSG00000169914",-0.10353481477571,1,"ENSG00000169914","OTUD3"
"9","ENSG00000136810",0.0999947801359031,1,"ENSG00000136810","TXN"
"10","ENSG00000029639",0.0984826500814665,1,"ENSG00000029639","TFB1M"
"11","ENSG00000197555",0.0978786703838128,1,"ENSG00000197555","SIPA1L1"
"12","ENSG00000127124",0.0942510780477176,1,"ENSG00000127124","HIVEP3"
"13","ENSG00000108666",0.0938397161025974,1,"ENSG00000108666","C17orf75"
"14","ENSG00000261857",0.0892728083136399,1,"ENSG00000261857","MIA"
"15","ENSG00000113070",-0.0857288297468717,1,"ENSG00000113070","HBEGF"
"16","ENSG00000113384",-0.0838631155957106,1,"ENSG00000113384","GOLPH3"
"17","ENSG00000138794",0.0829380989333694,1,"ENSG00000138794","CASP6"
"18","ENSG00000179144",0.0826964554003195,1,"ENSG00000179144","GIMAP7"
"19","ENSG00000170893",-0.0824221817680718,1,"ENSG00000170893","TRH"
"20","ENSG00000174946",0.0809263725242324,1,"ENSG00000174946","GPR171"
"21","ENSG00000198934",-0.0799010577103302,1,"ENSG00000198934","MAGEE1"
"22","ENSG00000213886",0.079499303480896,1,"ENSG00000213886","UBD"
"23","ENSG00000204681",0.079499303480896,1,"ENSG00000204681","GABBR1"
"24","ENSG00000231925",0.0791799548865017,1,"ENSG00000231925","TAPBP"
"25","ENSG00000120738",-0.0773777355183951,1,"ENSG00000120738","EGR1"
"26","ENSG00000125740",-0.0773085670284562,1,"ENSG00000125740","FOSB"
"27","ENSG00000131018",0.0759039617521501,1,"ENSG00000131018","SYNE1"
"28","ENSG00000100453",0.0753540835595211,1,"ENSG00000100453","GZMB"
"29","ENSG00000182378",-0.0750537574552143,1,"ENSG00000182378","PLCXD1"
"30","ENSG00000051128",-0.0747643745845319,1,"ENSG00000051128","HOMER3"
"31","ENSG00000101639",0.0744813132133903,1,"ENSG00000101639","CEP192"
"32","ENSG00000123106",0.072995295553305,1,"ENSG00000123106","CCDC91"
"33","ENSG00000176907",-0.0723103285532829,1,"ENSG00000176907","TCIM"
"34","ENSG00000138755",0.0704050279052712,1,"ENSG00000138755","CXCL9"
"35","ENSG00000128016",-0.07024275991159,1,"ENSG00000128016","ZFP36"
"36","ENSG00000135336",0.0696410915512629,1,"ENSG00000135336","ORC3"
"37","ENSG00000162976",0.0690484867487046,1,"ENSG00000162976","SLC66A3"
"38","ENSG00000167565",-0.0683871172496238,1,"ENSG00000167565","SERTAD3"
"39","ENSG00000105717",0.0681537265896961,1,"ENSG00000105717","PBX4"
"40","ENSG00000167604",-0.0675726578787588,1,"ENSG00000167604","NFKBID"
"41","ENSG00000147231",0.0675721070168056,1,"ENSG00000147231","RADX"
"42","ENSG00000167526",-0.067427368444406,1,"ENSG00000167526","RPL13"
"43","ENSG00000158773",-0.0673248218076068,1,"ENSG00000158773","USF1"
