"","name","value.var","comp","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000111052",-0.167431527683791,1,"ENSG00000111052","LIN7A"
"2","ENSG00000135925",0.166055095741589,1,"ENSG00000135925","WNT10A"
"3","ENSG00000168952",-0.151727781034414,1,"ENSG00000168952","STXBP6"
"4","ENSG00000124440",-0.151693397464191,1,"ENSG00000124440","HIF3A"
"5","ENSG00000165810",-0.147018218799031,1,"ENSG00000165810","BTNL9"
"6","ENSG00000055813",-0.146072246862112,1,"ENSG00000055813","CCDC85A"
"7","ENSG00000165197",-0.141013167964971,1,"ENSG00000165197","VEGFD"
"8","ENSG00000204301",-0.137261536085376,1,"ENSG00000204301","NOTCH4"
"9","ENSG00000116016",-0.133496787362477,1,"ENSG00000116016","EPAS1"
"10","ENSG00000183036",0.132559801249991,1,"ENSG00000183036","PCP4"
"11","ENSG00000137878",-0.130058006490417,1,"ENSG00000137878","GCOM1"
"12","ENSG00000105339",-0.129269318393941,1,"ENSG00000105339","DENND3"
"13","ENSG00000137673",0.126627335192468,1,"ENSG00000137673","MMP7"
"14","ENSG00000196549",-0.125847246559207,1,"ENSG00000196549","MME"
"15","ENSG00000186891",0.124372353459547,1,"ENSG00000186891","TNFRSF18"
"16","ENSG00000263155",-0.123439305277912,1,"ENSG00000263155","MYZAP"
"17","ENSG00000133121",-0.123009925399216,1,"ENSG00000133121","STARD13"
"18","ENSG00000164741",-0.120586374659177,1,"ENSG00000164741","DLC1"
"19","ENSG00000185950",-0.119195272189935,1,"ENSG00000185950","IRS2"
"20","ENSG00000127329",-0.11426348412935,1,"ENSG00000127329","PTPRB"
"21","ENSG00000167434",-0.114043863957529,1,"ENSG00000167434","CA4"
"22","ENSG00000135643",-0.113066497973355,1,"ENSG00000135643","KCNMB4"
"23","ENSG00000102760",-0.112204635135608,1,"ENSG00000102760","RGCC"
"24","ENSG00000162367",-0.111292703035311,1,"ENSG00000162367","TAL1"
"25","ENSG00000168497",-0.108746466636971,1,"ENSG00000168497","CAVIN2"
"26","ENSG00000111961",-0.108497589143996,1,"ENSG00000111961","SASH1"
"27","ENSG00000136826",-0.104200726892262,1,"ENSG00000136826","KLF4"
"28","ENSG00000198576",-0.104091010259232,1,"ENSG00000198576","ARC"
"29","ENSG00000198682",-0.103880811463735,1,"ENSG00000198682","PAPSS2"
"30","ENSG00000133116",-0.10201918301899,1,"ENSG00000133116","KL"
"31","ENSG00000100234",-0.100561380495677,1,"ENSG00000100234","TIMP3"
"32","ENSG00000046653",-0.0987598180489985,1,"ENSG00000046653","GPM6B"
"33","ENSG00000104059",-0.0985019662787252,1,"ENSG00000104059","ENTREP2"
"34","ENSG00000120156",-0.0969081314256998,1,"ENSG00000120156","TEK"
"35","ENSG00000140945",-0.0968647167027254,1,"ENSG00000140945","CDH13"
"36","ENSG00000092421",-0.0946775218202721,1,"ENSG00000092421","SEMA6A"
"37","ENSG00000170989",-0.0944121411083217,1,"ENSG00000170989","S1PR1"
"38","ENSG00000139112",-0.0940449043720802,1,"ENSG00000139112","GABARAPL1"
"39","ENSG00000113594",-0.0920797255081661,1,"ENSG00000113594","LIFR"
"40","ENSG00000099953",0.0909258036489438,1,"ENSG00000099953","MMP11"
"41","ENSG00000169860",-0.0877033213566274,1,"ENSG00000169860","P2RY1"
"42","ENSG00000204866",0.0874801548113641,1,"ENSG00000204866","IGFL2"
"43","ENSG00000130158",-0.0873381602018724,1,"ENSG00000130158","DOCK6"
"44","ENSG00000136160",-0.0845703371049923,1,"ENSG00000136160","EDNRB"
"45","ENSG00000103034",-0.0835663461453828,1,"ENSG00000103034","NDRG4"
"46","ENSG00000154319",-0.0833700519439812,1,"ENSG00000154319","FAM167A"
"47","ENSG00000164161",-0.0819244428085568,1,"ENSG00000164161","HHIP"
"48","ENSG00000177303",-0.0818996708858226,1,"ENSG00000177303","CASKIN2"
"49","ENSG00000157510",-0.0816567065258679,1,"ENSG00000157510","AFAP1L1"
"50","ENSG00000168067",-0.0805709934573068,1,"ENSG00000168067","MAP4K2"
"51","ENSG00000176771",-0.0800832653620079,1,"ENSG00000176771","NCKAP5"
"52","ENSG00000067082",-0.0800079440193732,1,"ENSG00000067082","KLF6"
"53","ENSG00000180879",0.0798090288284677,1,"ENSG00000180879","SSR4"
"54","ENSG00000137393",-0.0793173129986843,1,"ENSG00000137393","RNF144B"
"55","ENSG00000277494",-0.0792442591755955,1,"ENSG00000277494","GPIHBP1"
"56","ENSG00000130052",-0.0778800478846964,1,"ENSG00000130052","STARD8"
"57","ENSG00000131370",-0.0773654989065529,1,"ENSG00000131370","SH3BP5"
"58","ENSG00000182118",-0.0771239111189101,1,"ENSG00000182118","FAM89A"
"59","ENSG00000114812",-0.0770020345440311,1,"ENSG00000114812","VIPR1"
"60","ENSG00000076067",-0.0759732413991935,1,"ENSG00000076067","RBMS2"
"61","ENSG00000187678",-0.0745279079993886,1,"ENSG00000187678","SPRY4"
"62","ENSG00000189367",-0.0738401898075888,1,"ENSG00000189367","KIAA0408"
"63","ENSG00000198075",-0.0738189068559326,1,"ENSG00000198075","SULT1C4"
"64","ENSG00000211445",-0.0732086704022453,1,"ENSG00000211445","GPX3"
"65","ENSG00000169252",-0.0729123375131971,1,"ENSG00000169252","ADRB2"
"66","ENSG00000211448",0.0723427394676787,1,"ENSG00000211448","DIO2"
"67","ENSG00000130396",-0.0717856429245297,1,"ENSG00000130396","AFDN"
"68","ENSG00000118263",-0.0707389367973715,1,"ENSG00000118263","KLF7"
"69","ENSG00000103241",-0.0707243270431646,1,"ENSG00000103241","FOXF1"
"70","ENSG00000146950",-0.0703289619366879,1,"ENSG00000146950","SHROOM2"
"71","ENSG00000213886",0.0691840422733451,1,"ENSG00000213886","UBD"
"72","ENSG00000144655",-0.0678483137843284,1,"ENSG00000144655","CSRNP1"
"73","ENSG00000106258",-0.0674528112347712,1,"ENSG00000106258","CYP3A5"
"74","ENSG00000031081",-0.0670955763774573,1,"ENSG00000031081","ARHGAP31"
"75","ENSG00000145147",-0.066792402501649,1,"ENSG00000145147","SLIT2"
"76","ENSG00000166398",-0.0665342736137936,1,"ENSG00000166398","GARRE1"
"77","ENSG00000133019",-0.0661166947102546,1,"ENSG00000133019","CHRM3"
"78","ENSG00000172059",-0.0653822261896167,1,"ENSG00000172059","KLF11"
"79","ENSG00000125266",-0.0647293190586884,1,"ENSG00000125266","EFNB2"
"80","ENSG00000149564",-0.0643424364315688,1,"ENSG00000149564","ESAM"
"81","ENSG00000169418",-0.0637969937863946,1,"ENSG00000169418","NPR1"
"82","ENSG00000161647",-0.0635572752450168,1,"ENSG00000161647","MPP3"
"83","ENSG00000102934",-0.0634228288073059,1,"ENSG00000102934","PLLP"
"84","ENSG00000183317",0.0631958900355882,1,"ENSG00000183317","EPHA10"
"85","ENSG00000078114",-0.062220304974132,1,"ENSG00000078114","NEBL"
"86","ENSG00000138772",-0.0618665114121022,1,"ENSG00000138772","ANXA3"
"87","ENSG00000071991",-0.0617411692227105,1,"ENSG00000071991","CDH19"
"88","ENSG00000065618",0.0608889667106199,1,"ENSG00000065618","COL17A1"
"89","ENSG00000173517",-0.0608582611849204,1,"ENSG00000173517","PEAK1"
"90","ENSG00000113070",-0.0608343577205797,1,"ENSG00000113070","HBEGF"
"91","ENSG00000120318",-0.060634800266678,1,"ENSG00000120318","ARAP3"
"92","ENSG00000006831",-0.0597606052674821,1,"ENSG00000006831","ADIPOR2"
"93","ENSG00000169291",-0.0574804355422323,1,"ENSG00000169291","SHE"
"94","ENSG00000111666",-0.0572451538109093,1,"ENSG00000111666","CHPT1"
"95","ENSG00000161896",-0.0571366829260999,1,"ENSG00000161896","IP6K3"
"96","ENSG00000133401",-0.0570566388006246,1,"ENSG00000133401","PDZD2"
"97","ENSG00000156234",0.0563081367983786,1,"ENSG00000156234","CXCL13"
"98","ENSG00000165626",-0.055826349738809,1,"ENSG00000165626","BEND7"
"99","ENSG00000104783",0.0556551309442295,1,"ENSG00000104783","KCNN4"
"100","ENSG00000171132",-0.0555597609085643,1,"ENSG00000171132","PRKCE"
"101","ENSG00000165312",-0.0542249224981905,1,"ENSG00000165312","OTUD1"
"102","ENSG00000108576",-0.0534752797855578,1,"ENSG00000108576","SLC6A4"
"103","ENSG00000180537",-0.0534463849952882,1,"ENSG00000180537","RNF182"
"104","ENSG00000132031",-0.0532401532820504,1,"ENSG00000132031","MATN3"
"105","ENSG00000101665",-0.0517212814602986,1,"ENSG00000101665","SMAD7"
"106","ENSG00000072134",-0.0514067207935697,1,"ENSG00000072134","EPN2"
"107","ENSG00000155511",-0.0506140446971176,1,"ENSG00000155511","GRIA1"
"108","ENSG00000185666",-0.0499264950852822,1,"ENSG00000185666","SYN3"
"109","ENSG00000168309",-0.0494751868005132,1,"ENSG00000168309","FAM107A"
"110","ENSG00000110328",-0.0486098891631064,1,"ENSG00000110328","GALNT18"
"111","ENSG00000064999",-0.04859829257364,1,"ENSG00000064999","ANKS1A"
"112","ENSG00000102683",-0.0473112565461498,1,"ENSG00000102683","SGCG"
"113","ENSG00000175445",-0.046827569311062,1,"ENSG00000175445","LPL"
"114","ENSG00000119280",-0.0464747564396236,1,"ENSG00000119280","C1orf198"
"115","ENSG00000069702",-0.0463808978909661,1,"ENSG00000069702","TGFBR3"
"116","ENSG00000164442",-0.0463348023257403,1,"ENSG00000164442","CITED2"
"117","ENSG00000167476",0.0460028789967328,1,"ENSG00000167476","JSRP1"
"118","ENSG00000158764",-0.0446565866254984,1,"ENSG00000158764","ITLN2"
"119","ENSG00000118526",-0.0440692207228937,1,"ENSG00000118526","TCF21"
"120","ENSG00000206052",-0.0440020284146247,1,"ENSG00000206052","DOK6"
"121","ENSG00000180440",-0.0435591827843425,1,"ENSG00000180440","SERTM1"
"122","ENSG00000173166",-0.0434754696688396,1,"ENSG00000173166","RAPH1"
"123","ENSG00000037280",-0.0432161229158107,1,"ENSG00000037280","FLT4"
