"","name","value.var","comp","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000111052",-0.138872775356749,1,"ENSG00000111052","LIN7A"
"2","ENSG00000135925",0.13791212150576,1,"ENSG00000135925","WNT10A"
"3","ENSG00000168952",-0.127912651407904,1,"ENSG00000168952","STXBP6"
"4","ENSG00000124440",-0.127888654065113,1,"ENSG00000124440","HIF3A"
"5","ENSG00000165810",-0.12462570422281,1,"ENSG00000165810","BTNL9"
"6","ENSG00000055813",-0.123965481543964,1,"ENSG00000055813","CCDC85A"
"7","ENSG00000165197",-0.120434596015965,1,"ENSG00000165197","VEGFD"
"8","ENSG00000204301",-0.117816217655128,1,"ENSG00000204301","NOTCH4"
"9","ENSG00000116016",-0.11518868464912,1,"ENSG00000116016","EPAS1"
"10","ENSG00000183036",0.114534733451327,1,"ENSG00000183036","PCP4"
"11","ENSG00000137878",-0.112788654552341,1,"ENSG00000137878","GCOM1"
"12","ENSG00000105339",-0.11223820506488,1,"ENSG00000105339","DENND3"
"13","ENSG00000137673",0.110394284374778,1,"ENSG00000137673","MMP7"
"14","ENSG00000196549",-0.109849836715088,1,"ENSG00000196549","MME"
"15","ENSG00000186891",0.108820463818002,1,"ENSG00000186891","TNFRSF18"
"16","ENSG00000263155",-0.108169261022306,1,"ENSG00000263155","MYZAP"
"17","ENSG00000133121",-0.107869583703465,1,"ENSG00000133121","STARD13"
"18","ENSG00000164741",-0.106178113693141,1,"ENSG00000164741","DLC1"
"19","ENSG00000185950",-0.105207220833695,1,"ENSG00000185950","IRS2"
"20","ENSG00000127329",-0.101765175464503,1,"ENSG00000127329","PTPRB"
"21","ENSG00000167434",-0.101611895845406,1,"ENSG00000167434","CA4"
"22","ENSG00000135643",-0.100929762303066,1,"ENSG00000135643","KCNMB4"
"23","ENSG00000102760",-0.100328241930921,1,"ENSG00000102760","RGCC"
"24","ENSG00000162367",-0.0996917766926985,1,"ENSG00000162367","TAL1"
"25","ENSG00000168497",-0.0979146806179874,1,"ENSG00000168497","CAVIN2"
"26","ENSG00000111961",-0.0977409814217387,1,"ENSG00000111961","SASH1"
"27","ENSG00000136826",-0.0947420701477859,1,"ENSG00000136826","KLF4"
"28","ENSG00000198576",-0.0946654955618536,1,"ENSG00000198576","ARC"
"29","ENSG00000198682",-0.094518791408763,1,"ENSG00000198682","PAPSS2"
"30","ENSG00000133116",-0.0932195041140387,1,"ENSG00000133116","KL"
"31","ENSG00000100234",-0.0922020592516637,1,"ENSG00000100234","TIMP3"
"32","ENSG00000046653",-0.0909446938497607,1,"ENSG00000046653","GPM6B"
"33","ENSG00000104059",-0.0907647312315571,1,"ENSG00000104059","ENTREP2"
"34","ENSG00000120156",-0.0896523452555746,1,"ENSG00000120156","TEK"
"35","ENSG00000140945",-0.0896220447957146,1,"ENSG00000140945","CDH13"
"36","ENSG00000092421",-0.0880955347502332,1,"ENSG00000092421","SEMA6A"
"37","ENSG00000170989",-0.0879103174539057,1,"ENSG00000170989","S1PR1"
"38","ENSG00000139112",-0.0876540117303326,1,"ENSG00000139112","GABARAPL1"
"39","ENSG00000113594",-0.0862824534384773,1,"ENSG00000113594","LIFR"
"40","ENSG00000099953",0.0854770961637622,1,"ENSG00000099953","MMP11"
"41","ENSG00000169860",-0.0832280274456198,1,"ENSG00000169860","P2RY1"
"42","ENSG00000204866",0.0830722727042874,1,"ENSG00000204866","IGFL2"
"43","ENSG00000130158",-0.0829731703336976,1,"ENSG00000130158","DOCK6"
"44","ENSG00000136160",-0.0810414221408874,1,"ENSG00000136160","EDNRB"
"45","ENSG00000103034",-0.0803407062157945,1,"ENSG00000103034","NDRG4"
"46","ENSG00000154319",-0.0802037065031886,1,"ENSG00000154319","FAM167A"
"47","ENSG00000164161",-0.0791947717782731,1,"ENSG00000164161","HHIP"
"48","ENSG00000177303",-0.0791774826975409,1,"ENSG00000177303","CASKIN2"
"49","ENSG00000157510",-0.0790079104572526,1,"ENSG00000157510","AFAP1L1"
"50","ENSG00000168067",-0.0782501581787679,1,"ENSG00000168067","MAP4K2"
"51","ENSG00000176771",-0.0779097578592033,1,"ENSG00000176771","NCKAP5"
"52","ENSG00000067082",-0.077857188795928,1,"ENSG00000067082","KLF6"
"53","ENSG00000180879",0.0777183598147741,1,"ENSG00000180879","SSR4"
"54","ENSG00000137393",-0.0773751763336365,1,"ENSG00000137393","RNF144B"
"55","ENSG00000277494",-0.0773241898414403,1,"ENSG00000277494","GPIHBP1"
"56","ENSG00000130052",-0.0763720651558792,1,"ENSG00000130052","STARD8"
"57","ENSG00000131370",-0.0760129457238023,1,"ENSG00000131370","SH3BP5"
"58","ENSG00000182118",-0.0758443342353332,1,"ENSG00000182118","FAM89A"
"59","ENSG00000114812",-0.0757592728549532,1,"ENSG00000114812","VIPR1"
"60","ENSG00000076067",-0.0750412467280105,1,"ENSG00000076067","RBMS2"
"61","ENSG00000187678",-0.074032504447397,1,"ENSG00000187678","SPRY4"
"62","ENSG00000189367",-0.0735525249372652,1,"ENSG00000189367","KIAA0408"
"63","ENSG00000198075",-0.073537670915906,1,"ENSG00000198075","SULT1C4"
