"","name","value.var","comp","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000240065",-0.262408208323968,1,"ENSG00000240065","PSMB9"
"2","ENSG00000183734",-0.257007761838383,1,"ENSG00000183734","ASCL2"
"3","ENSG00000133321",-0.225190415113285,1,"ENSG00000133321","PLAAT4"
"4","ENSG00000038427",0.214372687343192,1,"ENSG00000038427","VCAN"
"5","ENSG00000090554",-0.211979799527864,1,"ENSG00000090554","FLT3LG"
"6","ENSG00000121957",0.198860184028575,1,"ENSG00000121957","GPSM2"
"7","ENSG00000138755",-0.196018783135903,1,"ENSG00000138755","CXCL9"
"8","ENSG00000013725",-0.184949512983152,1,"ENSG00000013725","CD6"
"9","ENSG00000168899",-0.17712848102373,1,"ENSG00000168899","VAMP5"
"10","ENSG00000130303",-0.164212177379439,1,"ENSG00000130303","BST2"
"11","ENSG00000092010",-0.163951560636227,1,"ENSG00000092010","PSME1"
"12","ENSG00000213886",-0.150765851782297,1,"ENSG00000213886","UBD"
"13","ENSG00000157873",-0.148354414370604,1,"ENSG00000157873","TNFRSF14"
"14","ENSG00000186810",-0.145710200908475,1,"ENSG00000186810","CXCR3"
"15","ENSG00000213190",0.144335592703669,1,"ENSG00000213190","MLLT11"
"16","ENSG00000160145",0.14240031583163,1,"ENSG00000160145","KALRN"
"17","ENSG00000231925",-0.133117138411304,1,"ENSG00000231925","TAPBP"
"18","ENSG00000115594",0.131161187830181,1,"ENSG00000115594","IL1R1"
"19","ENSG00000243244",0.130403270947624,1,"ENSG00000243244","STON1"
"20","ENSG00000174705",0.130005516763254,1,"ENSG00000174705","SH3PXD2B"
"21","ENSG00000163156",-0.129304638119827,1,"ENSG00000163156","SCNM1"
"22","ENSG00000197496",0.127814252670151,1,"ENSG00000197496","SLC2A10"
"23","ENSG00000204264",-0.126441560315025,1,"ENSG00000204264","PSMB8"
"24","ENSG00000188820",-0.109604511936064,1,"ENSG00000188820","CALHM6"
"25","ENSG00000128335",-0.107262351609477,1,"ENSG00000128335","APOL2"
"26","ENSG00000198108",0.105371538411199,1,"ENSG00000198108","CHSY3"
"27","ENSG00000130748",-0.103085333521913,1,"ENSG00000130748","TMEM160"
"28","ENSG00000111537",-0.101959039152419,1,"ENSG00000111537","IFNG"
"29","ENSG00000170500",0.101394562655337,1,"ENSG00000170500","LONRF2"
