"","name","value.var","comp","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000121957",0.319443689448179,1,"ENSG00000121957","GPSM2"
"2","ENSG00000038427",0.297173106390056,1,"ENSG00000038427","VCAN"
"3","ENSG00000240065",-0.251858776593843,1,"ENSG00000240065","PSMB9"
"4","ENSG00000183734",-0.230580540063775,1,"ENSG00000183734","ASCL2"
"5","ENSG00000090554",-0.184091543385634,1,"ENSG00000090554","FLT3LG"
"6","ENSG00000168899",-0.180610923385707,1,"ENSG00000168899","VAMP5"
"7","ENSG00000133321",-0.177501082352019,1,"ENSG00000133321","PLAAT4"
"8","ENSG00000198108",0.166952184652178,1,"ENSG00000198108","CHSY3"
"9","ENSG00000115594",0.16154401418636,1,"ENSG00000115594","IL1R1"
"10","ENSG00000130303",-0.159811943701689,1,"ENSG00000130303","BST2"
"11","ENSG00000169902",0.15164514085013,1,"ENSG00000169902","TPST1"
"12","ENSG00000213190",0.151250163597185,1,"ENSG00000213190","MLLT11"
"13","ENSG00000157873",-0.145346046580167,1,"ENSG00000157873","TNFRSF14"
"14","ENSG00000262655",0.144213167271401,1,"ENSG00000262655","SPON1"
"15","ENSG00000204262",0.140367125508735,1,"ENSG00000204262","COL5A2"
"16","ENSG00000130748",-0.139747619316369,1,"ENSG00000130748","TMEM160"
"17","ENSG00000197496",0.139449710975478,1,"ENSG00000197496","SLC2A10"
"18","ENSG00000160145",0.135738443485236,1,"ENSG00000160145","KALRN"
"19","ENSG00000174705",0.135524123262286,1,"ENSG00000174705","SH3PXD2B"
"20","ENSG00000102468",0.134792372785625,1,"ENSG00000102468","HTR2A"
"21","ENSG00000138755",-0.131139452577153,1,"ENSG00000138755","CXCL9"
"22","ENSG00000092010",-0.121241092835504,1,"ENSG00000092010","PSME1"
"23","ENSG00000013725",-0.119592412119563,1,"ENSG00000013725","CD6"
"24","ENSG00000243244",0.119421643436334,1,"ENSG00000243244","STON1"
"25","ENSG00000170500",0.113843424927734,1,"ENSG00000170500","LONRF2"
"26","ENSG00000166250",0.112061215122515,1,"ENSG00000166250","CLMP"
"27","ENSG00000152217",0.112032169042709,1,"ENSG00000152217","SETBP1"
"28","ENSG00000084636",0.108376957721053,1,"ENSG00000084636","COL16A1"
"29","ENSG00000134874",0.106784986504259,1,"ENSG00000134874","DZIP1"
"30","ENSG00000102359",0.10404679950647,1,"ENSG00000102359","SRPX2"
"31","ENSG00000083857",0.103045696011689,1,"ENSG00000083857","FAT1"
"32","ENSG00000163520",0.101501465994534,1,"ENSG00000163520","FBLN2"
"33","ENSG00000103742",0.0928705759957611,1,"ENSG00000103742","IGDCC4"
"34","ENSG00000157214",0.0884117957407448,1,"ENSG00000157214","STEAP2"
"35","ENSG00000166402",0.0848227437937288,1,"ENSG00000166402","TUB"
"36","ENSG00000113916",0.0843951699339272,1,"ENSG00000113916","BCL6"
"37","ENSG00000113083",0.08432774778655,1,"ENSG00000113083","LOX"
"38","ENSG00000165731",0.0842406349814178,1,"ENSG00000165731","RET"
"39","ENSG00000167578",-0.0796328444469009,1,"ENSG00000167578","RAB4B"
"40","ENSG00000067445",0.0770801999088176,1,"ENSG00000067445","TRO"
"41","ENSG00000196136",0.0762325756828029,1,"ENSG00000196136","SERPINA3"
"42","ENSG00000164949",0.0734253161199388,1,"ENSG00000164949","GEM"
"43","ENSG00000189337",0.0726230815087784,1,"ENSG00000189337","KAZN"
"44","ENSG00000154856",0.0721387223707775,1,"ENSG00000154856","APCDD1"
"45","ENSG00000163156",-0.0675772476152646,1,"ENSG00000163156","SCNM1"
"46","ENSG00000142156",0.0660800881871705,1,"ENSG00000142156","COL6A1"
"47","ENSG00000165949",-0.0659256370333001,1,"ENSG00000165949","IFI27"
"48","ENSG00000231925",-0.0639885063307014,1,"ENSG00000231925","TAPBP"
"49","ENSG00000108582",0.0638210574143221,1,"ENSG00000108582","CPD"
"50","ENSG00000213886",-0.0631340671979255,1,"ENSG00000213886","UBD"
"51","ENSG00000143995",0.061830615939086,1,"ENSG00000143995","MEIS1"
"52","ENSG00000113805",0.0616571201615894,1,"ENSG00000113805","CNTN3"
"53","ENSG00000154734",0.0592535406483485,1,"ENSG00000154734","ADAMTS1"
"54","ENSG00000065154",0.0574048094825281,1,"ENSG00000065154","OAT"
"55","ENSG00000067798",0.0573068857736791,1,"ENSG00000067798","NAV3"
"56","ENSG00000017427",0.0518676878553577,1,"ENSG00000017427","IGF1"
"57","ENSG00000120820",0.0503453104513264,1,"ENSG00000120820","GLT8D2"
