"","name","value.var","comp","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000121957",0.166272813806249,1,"ENSG00000121957","GPSM2"
"2","ENSG00000038427",0.158587278083173,1,"ENSG00000038427","VCAN"
"3","ENSG00000240065",-0.142949389326192,1,"ENSG00000240065","PSMB9"
"4","ENSG00000183734",-0.135606310496639,1,"ENSG00000183734","ASCL2"
"5","ENSG00000090554",-0.119563046439864,1,"ENSG00000090554","FLT3LG"
"6","ENSG00000168899",-0.118361891118601,1,"ENSG00000168899","VAMP5"
"7","ENSG00000133321",-0.117288690911174,1,"ENSG00000133321","PLAAT4"
"8","ENSG00000198108",0.113648286441313,1,"ENSG00000198108","CHSY3"
"9","ENSG00000115594",0.111781937131865,1,"ENSG00000115594","IL1R1"
"10","ENSG00000130303",-0.111184202912241,1,"ENSG00000130303","BST2"
"11","ENSG00000169902",0.108365854829698,1,"ENSG00000169902","TPST1"
"12","ENSG00000213190",0.108229548933288,1,"ENSG00000213190","MLLT11"
"13","ENSG00000157873",-0.106192049415243,1,"ENSG00000157873","TNFRSF14"
"14","ENSG00000262655",0.10580109492722,1,"ENSG00000262655","SPON1"
"15","ENSG00000204262",0.104473833252828,1,"ENSG00000204262","COL5A2"
"16","ENSG00000130748",-0.104260042847805,1,"ENSG00000130748","TMEM160"
"17","ENSG00000197496",0.104157235247746,1,"ENSG00000197496","SLC2A10"
"18","ENSG00000160145",0.10287648391763,1,"ENSG00000160145","KALRN"
"19","ENSG00000174705",0.102802522417594,1,"ENSG00000174705","SH3PXD2B"
"20","ENSG00000102468",0.102549996724212,1,"ENSG00000102468","HTR2A"
"21","ENSG00000138755",-0.101289380929714,1,"ENSG00000138755","CXCL9"
"22","ENSG00000092010",-0.0978734758680572,1,"ENSG00000092010","PSME1"
"23","ENSG00000013725",-0.0973045192985211,1,"ENSG00000013725","CD6"
"24","ENSG00000243244",0.0972455873517504,1,"ENSG00000243244","STON1"
"25","ENSG00000170500",0.095320554787175,1,"ENSG00000170500","LONRF2"
"26","ENSG00000166250",0.0947055175836909,1,"ENSG00000166250","CLMP"
"27","ENSG00000152217",0.0946954938369671,1,"ENSG00000152217","SETBP1"
"28","ENSG00000084636",0.0934340873836802,1,"ENSG00000084636","COL16A1"
"29","ENSG00000134874",0.0928847011541033,1,"ENSG00000134874","DZIP1"
"30","ENSG00000102359",0.0919397580453826,1,"ENSG00000102359","SRPX2"
"31","ENSG00000083857",0.0915942791393496,1,"ENSG00000083857","FAT1"
"32","ENSG00000163520",0.0910613683066823,1,"ENSG00000163520","FBLN2"
"33","ENSG00000103742",0.0880828646350725,1,"ENSG00000103742","IGDCC4"
"34","ENSG00000157214",0.0865441480760206,1,"ENSG00000157214","STEAP2"
"35","ENSG00000166402",0.0853055730966958,1,"ENSG00000166402","TUB"
"36","ENSG00000113916",0.085158018173451,1,"ENSG00000113916","BCL6"
"37","ENSG00000113083",0.0851347509190265,1,"ENSG00000113083","LOX"
"38","ENSG00000165731",0.0851046884561789,1,"ENSG00000165731","RET"
"39","ENSG00000167578",-0.0835145487339697,1,"ENSG00000167578","RAB4B"
"40","ENSG00000067445",0.0826336359740948,1,"ENSG00000067445","TRO"
"41","ENSG00000196136",0.0823411224708884,1,"ENSG00000196136","SERPINA3"
"42","ENSG00000164949",0.0813723425517443,1,"ENSG00000164949","GEM"
"43","ENSG00000189337",0.0810954929180248,1,"ENSG00000189337","KAZN"
"44","ENSG00000154856",0.0809283415036147,1,"ENSG00000154856","APCDD1"
"45","ENSG00000163156",-0.0793541852683734,1,"ENSG00000163156","SCNM1"
"46","ENSG00000142156",0.0788375184061845,1,"ENSG00000142156","COL6A1"
"47","ENSG00000165949",-0.0787842176076628,1,"ENSG00000165949","IFI27"
"48","ENSG00000231925",-0.0781157174980683,1,"ENSG00000231925","TAPBP"
"49","ENSG00000108582",0.0780579311965034,1,"ENSG00000108582","CPD"
"50","ENSG00000213886",-0.0778208521835408,1,"ENSG00000213886","UBD"
"51","ENSG00000143995",0.0773710336409838,1,"ENSG00000143995","MEIS1"
"52","ENSG00000113805",0.0773111605791842,1,"ENSG00000113805","CNTN3"
"53","ENSG00000154734",0.0764816898749797,1,"ENSG00000154734","ADAMTS1"
"54","ENSG00000065154",0.0758436962768689,1,"ENSG00000065154","OAT"
"55","ENSG00000067798",0.0758099029917748,1,"ENSG00000067798","NAV3"
"56","ENSG00000017427",0.0739328461676656,1,"ENSG00000017427","IGF1"
"57","ENSG00000120820",0.0734074766300945,1,"ENSG00000120820","GLT8D2"
"58","ENSG00000128342",0.0733184137314282,1,"ENSG00000128342","LIF"
"59","ENSG00000186810",-0.0732615291977054,1,"ENSG00000186810","CXCR3"
"60","ENSG00000112183",0.0724718317323365,1,"ENSG00000112183","RBM24"
"61","ENSG00000204264",-0.0720295789102392,1,"ENSG00000204264","PSMB8"
"62","ENSG00000164879",0.0708111516746621,1,"ENSG00000164879","CA3"
"63","ENSG00000018625",0.0706658437729464,1,"ENSG00000018625","ATP1A2"
"64","ENSG00000143341",0.0704775837298843,1,"ENSG00000143341","HMCN1"
"65","ENSG00000147100",0.0701541571929189,1,"ENSG00000147100","SLC16A2"
"66","ENSG00000068079",-0.0694327206723862,1,"ENSG00000068079","IFI35"
"67","ENSG00000205213",0.0688486432648457,1,"ENSG00000205213","LGR4"
"68","ENSG00000128335",-0.0686273862958146,1,"ENSG00000128335","APOL2"
"69","ENSG00000135862",0.0686008875894404,1,"ENSG00000135862","LAMC1"
"70","ENSG00000077063",0.0682500191586303,1,"ENSG00000077063","CTTNBP2"
"71","ENSG00000115170",0.0675729302851115,1,"ENSG00000115170","ACVR1"
"72","ENSG00000006283",0.0672752385115871,1,"ENSG00000006283","CACNA1G"
"73","ENSG00000171443",-0.0670147718403845,1,"ENSG00000171443","ZNF524"
"74","ENSG00000179909",0.0668458623477192,1,"ENSG00000179909","ZNF154"
"75","ENSG00000007866",0.0655151115458227,1,"ENSG00000007866","TEAD3"
"76","ENSG00000156140",0.0653119057224492,1,"ENSG00000156140","ADAMTS3"
"77","ENSG00000156535",0.0647604648340932,1,"ENSG00000156535","CD109"
"78","ENSG00000258315",-0.0632530862011094,1,"ENSG00000258315","C17orf49"
"79","ENSG00000115657",0.0631207011327738,1,"ENSG00000115657","ABCB6"
"80","ENSG00000134121",0.0628670551033784,1,"ENSG00000134121","CHL1"
