"","name","value.var","comp","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000007933",-0.133294829557551,2,"ENSG00000007933","FMO3"
"2","ENSG00000100234",-0.112059518273783,2,"ENSG00000100234","TIMP3"
"3","ENSG00000137309",0.109387744010979,2,"ENSG00000137309","HMGA1"
"4","ENSG00000095585",0.10431784438908,2,"ENSG00000095585","BLNK"
"5","ENSG00000203727",-0.104256604228984,2,"ENSG00000203727","SAMD5"
"6","ENSG00000108179",0.101841799516108,2,"ENSG00000108179","PPIF"
"7","ENSG00000253368",-0.100645009795099,2,"ENSG00000253368","TRNP1"
"8","ENSG00000164117",-0.0994545717767129,2,"ENSG00000164117","FBXO8"
"9","ENSG00000103175",-0.0945547777047173,2,"ENSG00000103175","WFDC1"
"10","ENSG00000136295",0.0942159923700864,2,"ENSG00000136295","TTYH3"
"11","ENSG00000177051",0.0940077203150189,2,"ENSG00000177051","FBXO46"
"12","ENSG00000198513",-0.0937829975163931,2,"ENSG00000198513","ATL1"
"13","ENSG00000146070",0.0927856523058948,2,"ENSG00000146070","PLA2G7"
"14","ENSG00000188060",0.0908690743775711,2,"ENSG00000188060","RAB42"
"15","ENSG00000135900",0.089419363740418,2,"ENSG00000135900","MRPL44"
"16","ENSG00000135298",-0.0891230404647499,2,"ENSG00000135298","ADGRB3"
"17","ENSG00000142583",0.0885013561971013,2,"ENSG00000142583","SLC2A5"
"18","ENSG00000172748",-0.0879356802683103,2,"ENSG00000172748","ZNF596"
"19","ENSG00000164611",0.0858855466305267,2,"ENSG00000164611","PTTG1"
"20","ENSG00000162714",0.0858092312622039,2,"ENSG00000162714","ZNF496"
"21","ENSG00000184887",-0.0846825428042554,2,"ENSG00000184887","BTBD6"
"22","ENSG00000197256",-0.0840437286356994,2,"ENSG00000197256","KANK2"
"23","ENSG00000131323",0.0833026819964032,2,"ENSG00000131323","TRAF3"
"24","ENSG00000170296",0.0831989267811293,2,"ENSG00000170296","GABARAP"
"25","ENSG00000113389",-0.0829955567305352,2,"ENSG00000113389","NPR3"
"26","ENSG00000118762",-0.0823995329634433,2,"ENSG00000118762","PKD2"
"27","ENSG00000164176",-0.0818611136751368,2,"ENSG00000164176","EDIL3"
"28","ENSG00000137040",-0.0818371928350364,2,"ENSG00000137040","RANBP6"
"29","ENSG00000169255",-0.0803497258577214,2,"ENSG00000169255","B3GALNT1"
"30","ENSG00000109686",-0.0799117702936293,2,"ENSG00000109686","SH3D19"
"31","ENSG00000147027",-0.0795212536529143,2,"ENSG00000147027","TMEM47"
"32","ENSG00000173083",0.079185165686683,2,"ENSG00000173083","HPSE"
"33","ENSG00000106258",-0.0789199498289451,2,"ENSG00000106258","CYP3A5"
"34","ENSG00000112984",0.0782195489069071,2,"ENSG00000112984","KIF20A"
"35","ENSG00000148180",-0.077550456370592,2,"ENSG00000148180","GSN"
"36","ENSG00000197157",0.0769213233215698,2,"ENSG00000197157","SND1"
"37","ENSG00000175063",0.0768887790954559,2,"ENSG00000175063","UBE2C"
"38","ENSG00000154589",0.0760744224907836,2,"ENSG00000154589","LY96"
"39","ENSG00000084073",-0.0760210098350668,2,"ENSG00000084073","ZMPSTE24"
"40","ENSG00000081818",-0.0758676957387746,2,"ENSG00000081818","PCDHB4"
"41","ENSG00000126653",-0.0758476692258721,2,"ENSG00000126653","NSRP1"
"42","ENSG00000111665",0.0752015219365924,2,"ENSG00000111665","CDCA3"
"43","ENSG00000117399",0.0734284841290864,2,"ENSG00000117399","CDC20"
"44","ENSG00000142185",0.0718168065684399,2,"ENSG00000142185","TRPM2"
"45","ENSG00000185532",-0.0710103766529516,2,"ENSG00000185532","PRKG1"
"46","ENSG00000154153",-0.0704798315273615,2,"ENSG00000154153","RETREG1"
"47","ENSG00000171243",-0.0701027946534589,2,"ENSG00000171243","SOSTDC1"
"48","ENSG00000119138",-0.0696091176665976,2,"ENSG00000119138","KLF9"
"49","ENSG00000073060",0.0684963296699484,2,"ENSG00000073060","SCARB1"
"50","ENSG00000163736",-0.0684907838997232,2,"ENSG00000163736","PPBP"
"51","ENSG00000137101",0.0677816653296692,2,"ENSG00000137101","CD72"
"52","ENSG00000100307",-0.0674973377853,2,"ENSG00000100307","CBX7"
"53","ENSG00000187583",0.0672568839531141,2,"ENSG00000187583","PLEKHN1"
"54","ENSG00000155011",-0.0666556697583331,2,"ENSG00000155011","DKK2"
"55","ENSG00000239306",0.0665017722745456,2,"ENSG00000239306","RBM14"
"56","ENSG00000144642",-0.0663738817428669,2,"ENSG00000144642","RBMS3"
"57","ENSG00000129116",-0.0658193470738372,2,"ENSG00000129116","PALLD"
"58","ENSG00000101608",-0.0656878179450189,2,"ENSG00000101608","MYL12A"
"59","ENSG00000112210",-0.0656427224516181,2,"ENSG00000112210","RAB23"
"60","ENSG00000157445",-0.0656268791870737,2,"ENSG00000157445","CACNA2D3"
