"","name","value.var","comp","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000144290",-0.257449280138632,1,"ENSG00000144290","SLC4A10"
"2","ENSG00000186812",-0.225868671995526,1,"ENSG00000186812","ZNF397"
"3","ENSG00000153064",-0.205007102732437,1,"ENSG00000153064","BANK1"
"4","ENSG00000172915",-0.18526830805077,1,"ENSG00000172915","NBEA"
"5","ENSG00000148411",0.180174315025706,1,"ENSG00000148411","NACC2"
"6","ENSG00000082512",-0.173730524493163,1,"ENSG00000082512","TRAF5"
"7","ENSG00000135318",-0.173620651815411,1,"ENSG00000135318","NT5E"
"8","ENSG00000112182",-0.173544738516085,1,"ENSG00000112182","BACH2"
"9","ENSG00000162630",-0.172605078205853,1,"ENSG00000162630","B3GALT2"
"10","ENSG00000147180",-0.167942599132478,1,"ENSG00000147180","ZNF711"
"11","ENSG00000137502",-0.167361378137009,1,"ENSG00000137502","RAB30"
"12","ENSG00000125245",-0.163137296909816,1,"ENSG00000125245","GPR18"
"13","ENSG00000165209",-0.151791347004323,1,"ENSG00000165209","STRBP"
"14","ENSG00000104290",-0.148851756128948,1,"ENSG00000104290","FZD3"
"15","ENSG00000160883",0.147757271319976,1,"ENSG00000160883","HK3"
"16","ENSG00000157404",-0.144272718679466,1,"ENSG00000157404","KIT"
"17","ENSG00000146054",0.141837181572375,1,"ENSG00000146054","TRIM7"
"18","ENSG00000116191",-0.130882456946589,1,"ENSG00000116191","RALGPS2"
"19","ENSG00000181690",-0.123827925713976,1,"ENSG00000181690","PLAG1"
"20","ENSG00000149308",-0.119351097176014,1,"ENSG00000149308","NPAT"
"21","ENSG00000151743",-0.117782697832343,1,"ENSG00000151743","AMN1"
"22","ENSG00000127334",-0.11694067967888,1,"ENSG00000127334","DYRK2"
"23","ENSG00000162594",-0.112027969397027,1,"ENSG00000162594","IL23R"
"24","ENSG00000164114",-0.109970696028694,1,"ENSG00000164114","MAP9"
"25","ENSG00000173114",-0.107970832858047,1,"ENSG00000173114","LRRN3"
"26","ENSG00000122435",-0.107672163472298,1,"ENSG00000122435","TRMT13"
"27","ENSG00000256771",-0.106923427992055,1,"ENSG00000256771","ZNF253"
"28","ENSG00000198730",-0.103238284758589,1,"ENSG00000198730","CTR9"
"29","ENSG00000171817",-0.0929928006377206,1,"ENSG00000171817","ZNF540"
"30","ENSG00000142733",0.0928754097689004,1,"ENSG00000142733","MAP3K6"
"31","ENSG00000133740",-0.0907845719839251,1,"ENSG00000133740","E2F5"
"32","ENSG00000256223",-0.0848845567475062,1,"ENSG00000256223","ZNF10"
"33","ENSG00000091409",-0.0847796872902762,1,"ENSG00000091409","ITGA6"
"34","ENSG00000124104",0.0845581858627311,1,"ENSG00000124104","SNX21"
"35","ENSG00000147905",-0.0840999694322599,1,"ENSG00000147905","ZCCHC7"
"36","ENSG00000136861",-0.0839487097744973,1,"ENSG00000136861","CDK5RAP2"
"37","ENSG00000169026",0.083448347631017,1,"ENSG00000169026","SLC49A3"
"38","ENSG00000185482",0.0829173624279448,1,"ENSG00000185482","STAC3"
"39","ENSG00000108950",0.0809828183424576,1,"ENSG00000108950","FAM20A"
"40","ENSG00000166432",-0.0806202912197524,1,"ENSG00000166432","ZMAT1"
"41","ENSG00000105497",-0.0802545687923104,1,"ENSG00000105497","ZNF175"
"42","ENSG00000148700",-0.0790765897069736,1,"ENSG00000148700","ADD3"
"43","ENSG00000112486",-0.0782839982607872,1,"ENSG00000112486","CCR6"
"44","ENSG00000163751",-0.0769187274364003,1,"ENSG00000163751","CPA3"
"45","ENSG00000168813",-0.0762605250943057,1,"ENSG00000168813","ZNF507"
"46","ENSG00000156738",-0.0748410850708594,1,"ENSG00000156738","MS4A1"
"47","ENSG00000172244",-0.0729482323090317,1,"ENSG00000172244","C5orf34"
"48","ENSG00000113240",-0.0728220722279728,1,"ENSG00000113240","CLK4"
"49","ENSG00000078589",-0.0724418702012197,1,"ENSG00000078589","P2RY10"
"50","ENSG00000124813",-0.0719446591302294,1,"ENSG00000124813","RUNX2"
"51","ENSG00000121895",-0.0714677654677604,1,"ENSG00000121895","TMEM156"
"52","ENSG00000134709",-0.0707167940886948,1,"ENSG00000134709","HOOK1"
"53","ENSG00000205268",-0.0705552542013825,1,"ENSG00000205268","PDE7A"
"54","ENSG00000182568",-0.0704647536664158,1,"ENSG00000182568","SATB1"
"55","ENSG00000136014",-0.0675102752682527,1,"ENSG00000136014","USP44"
"56","ENSG00000236901",-0.0671659343320801,1,"ENSG00000236901","MIR600HG"
"57","ENSG00000046651",-0.067162868703875,1,"ENSG00000046651","OFD1"
"58","ENSG00000115419",-0.0669760308892555,1,"ENSG00000115419","GLS"
"59","ENSG00000184557",0.0651666408805696,1,"ENSG00000184557","SOCS3"
"60","ENSG00000125354",-0.0644514642602399,1,"ENSG00000125354","SEPTIN6"
"61","ENSG00000170242",-0.0636102083357399,1,"ENSG00000170242","USP47"
"62","ENSG00000198589",-0.0631257492483097,1,"ENSG00000198589","LRBA"
"63","ENSG00000104660",-0.0626733029572114,1,"ENSG00000104660","LEPROTL1"
"64","ENSG00000164877",0.0613867667904502,1,"ENSG00000164877","MICALL2"
"65","ENSG00000152465",-0.0603147550631463,1,"ENSG00000152465","NMT2"
"66","ENSG00000170456",-0.0583148972577354,1,"ENSG00000170456","DENND5B"
"67","ENSG00000119285",-0.0574947546521385,1,"ENSG00000119285","HEATR1"
"68","ENSG00000197969",-0.0573225140078484,1,"ENSG00000197969","VPS13A"
"69","ENSG00000120694",-0.0571209212371566,1,"ENSG00000120694","HSPH1"
"70","ENSG00000167850",0.0570341969770335,1,"ENSG00000167850","CD300C"
"71","ENSG00000167232",-0.0545585858254686,1,"ENSG00000167232","ZNF91"
"72","ENSG00000135913",-0.0537317270430194,1,"ENSG00000135913","USP37"
"73","ENSG00000118922",-0.0532094780620972,1,"ENSG00000118922","KLF12"
"74","ENSG00000173451",-0.0516690099024489,1,"ENSG00000173451","THAP2"
"75","ENSG00000071794",-0.0508904997356281,1,"ENSG00000071794","HLTF"
"76","ENSG00000120800",-0.0504921724350786,1,"ENSG00000120800","UTP20"
"77","ENSG00000165169",-0.0490449426564302,1,"ENSG00000165169","DYNLT3"
"78","ENSG00000154269",-0.0485450436326947,1,"ENSG00000154269","ENPP3"
"79","ENSG00000076554",-0.0484526951918708,1,"ENSG00000076554","TPD52"
"80","ENSG00000116984",-0.0480301437867033,1,"ENSG00000116984","MTR"
"81","ENSG00000165512",-0.0474243763264282,1,"ENSG00000165512","ZNF22"
"82","ENSG00000101213",0.0464355768267146,1,"ENSG00000101213","PTK6"
"83","ENSG00000175711",0.0454164057002718,1,"ENSG00000175711","B3GNTL1"
"84","ENSG00000174791",0.0450493116585349,1,"ENSG00000174791","RIN1"
"85","ENSG00000082438",-0.0440211420290489,1,"ENSG00000082438","COBLL1"
"86","ENSG00000141505",0.0434103418296832,1,"ENSG00000141505","ASGR1"
"87","ENSG00000213626",-0.0432660559626016,1,"ENSG00000213626","LBH"
"88","ENSG00000165886",0.0425480841555581,1,"ENSG00000165886","UBTD1"
"89","ENSG00000197046",0.0424876714004222,1,"ENSG00000197046","SIGLEC15"
"90","ENSG00000101745",-0.0422285787948259,1,"ENSG00000101745","ANKRD12"
"91","ENSG00000186020",-0.0417893351189109,1,"ENSG00000186020","ZNF529"
"92","ENSG00000103657",-0.0415035118866309,1,"ENSG00000103657","HERC1"
"93","ENSG00000091490",-0.0408479106174373,1,"ENSG00000091490","SEL1L3"
"94","ENSG00000174307",0.0404635208238241,1,"ENSG00000174307","PHLDA3"
"95","ENSG00000152689",-0.0392756727310614,1,"ENSG00000152689","RASGRP3"
"96","ENSG00000151623",-0.0387869613240443,1,"ENSG00000151623","NR3C2"
