"","name","value.var","comp","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000144290",-0.153264248051192,1,"ENSG00000144290","SLC4A10"
"2","ENSG00000186812",-0.139525785017744,1,"ENSG00000186812","ZNF397"
"3","ENSG00000153064",-0.130450408861531,1,"ENSG00000153064","BANK1"
"4","ENSG00000172915",-0.121863471591986,1,"ENSG00000172915","NBEA"
"5","ENSG00000148411",0.119647439698289,1,"ENSG00000148411","NACC2"
"6","ENSG00000082512",-0.116844207486121,1,"ENSG00000082512","TRAF5"
"7","ENSG00000135318",-0.116796409745341,1,"ENSG00000135318","NT5E"
"8","ENSG00000112182",-0.116763385300346,1,"ENSG00000112182","BACH2"
"9","ENSG00000162630",-0.116354606331378,1,"ENSG00000162630","B3GALT2"
"10","ENSG00000147180",-0.11432629528355,1,"ENSG00000147180","ZNF711"
"11","ENSG00000137502",-0.114073447614362,1,"ENSG00000137502","RAB30"
"12","ENSG00000125245",-0.11223585210236,1,"ENSG00000125245","GPR18"
"13","ENSG00000165209",-0.10730004109297,1,"ENSG00000165209","STRBP"
"14","ENSG00000104290",-0.106021235428691,1,"ENSG00000104290","FZD3"
"15","ENSG00000160883",0.105545103397902,1,"ENSG00000160883","HK3"
"16","ENSG00000157404",-0.104029223861231,1,"ENSG00000157404","KIT"
"17","ENSG00000146054",0.10296969592685,1,"ENSG00000146054","TRIM7"
"18","ENSG00000116191",-0.0982040790447754,1,"ENSG00000116191","RALGPS2"
"19","ENSG00000181690",-0.0951351572520605,1,"ENSG00000181690","PLAG1"
"20","ENSG00000149308",-0.0931876094690297,1,"ENSG00000149308","NPAT"
"21","ENSG00000151743",-0.0925053111324345,1,"ENSG00000151743","AMN1"
"22","ENSG00000127334",-0.0921390092796511,1,"ENSG00000127334","DYRK2"
"23","ENSG00000162594",-0.090001840536876,1,"ENSG00000162594","IL23R"
"24","ENSG00000164114",-0.0891068680907323,1,"ENSG00000164114","MAP9"
"25","ENSG00000173114",-0.0882368707139439,1,"ENSG00000173114","LRRN3"
"26","ENSG00000122435",-0.0881069410337823,1,"ENSG00000122435","TRMT13"
"27","ENSG00000256771",-0.0877812197978092,1,"ENSG00000256771","ZNF253"
"28","ENSG00000198730",-0.086178077646255,1,"ENSG00000198730","CTR9"
"29","ENSG00000171817",-0.0817210005622264,1,"ENSG00000171817","ZNF540"
"30","ENSG00000142733",0.0816699321944342,1,"ENSG00000142733","MAP3K6"
"31","ENSG00000133740",-0.0807603582721192,1,"ENSG00000133740","E2F5"
"32","ENSG00000256223",-0.0781936837845662,1,"ENSG00000256223","ZNF10"
"33","ENSG00000091409",-0.078148062587059,1,"ENSG00000091409","ITGA6"
"34","ENSG00000124104",0.0780517031642007,1,"ENSG00000124104","SNX21"
"35","ENSG00000147905",-0.0778523659803561,1,"ENSG00000147905","ZCCHC7"
"36","ENSG00000136861",-0.0777865637257824,1,"ENSG00000136861","CDK5RAP2"
"37","ENSG00000169026",0.0775688919577028,1,"ENSG00000169026","SLC49A3"
"38","ENSG00000185482",0.0773378982874524,1,"ENSG00000185482","STAC3"
"39","ENSG00000108950",0.0764963165710837,1,"ENSG00000108950","FAM20A"
"40","ENSG00000166432",-0.0763386069585475,1,"ENSG00000166432","ZMAT1"
"41","ENSG00000105497",-0.076179507297542,1,"ENSG00000105497","ZNF175"
"42","ENSG00000148700",-0.0756670528810615,1,"ENSG00000148700","ADD3"
"43","ENSG00000112486",-0.0753222530521692,1,"ENSG00000112486","CCR6"
"44","ENSG00000163751",-0.0747283214006161,1,"ENSG00000163751","CPA3"
"45","ENSG00000168813",-0.0744419846554712,1,"ENSG00000168813","ZNF507"
"46","ENSG00000156738",-0.0738244878611743,1,"ENSG00000156738","MS4A1"
"47","ENSG00000172244",-0.0730010430567459,1,"ENSG00000172244","C5orf34"
"48","ENSG00000113240",-0.0729461598321395,1,"ENSG00000113240","CLK4"
"49","ENSG00000078589",-0.0727807611334785,1,"ENSG00000078589","P2RY10"
"50","ENSG00000124813",-0.0725644601715824,1,"ENSG00000124813","RUNX2"
"51","ENSG00000121895",-0.0723569978604379,1,"ENSG00000121895","TMEM156"
"52","ENSG00000134709",-0.0720303039448642,1,"ENSG00000134709","HOOK1"
"53","ENSG00000205268",-0.0719600294979564,1,"ENSG00000205268","PDE7A"
"54","ENSG00000182568",-0.0719206591904401,1,"ENSG00000182568","SATB1"
"55","ENSG00000136014",-0.0706353770301868,1,"ENSG00000136014","USP44"
"56","ENSG00000236901",-0.0704855789262024,1,"ENSG00000236901","MIR600HG"
"57","ENSG00000046651",-0.0704842452907138,1,"ENSG00000046651","OFD1"
"58","ENSG00000115419",-0.0704029655256831,1,"ENSG00000115419","GLS"
"59","ENSG00000184557",0.0696158293934472,1,"ENSG00000184557","SOCS3"
"60","ENSG00000125354",-0.0693047072163105,1,"ENSG00000125354","SEPTIN6"
"61","ENSG00000170242",-0.068938736954812,1,"ENSG00000170242","USP47"
"62","ENSG00000198589",-0.0687279834685677,1,"ENSG00000198589","LRBA"
"63","ENSG00000104660",-0.0685311564595149,1,"ENSG00000104660","LEPROTL1"
"64","ENSG00000164877",0.0679714766240871,1,"ENSG00000164877","MICALL2"
"65","ENSG00000152465",-0.0675051210231991,1,"ENSG00000152465","NMT2"
"66","ENSG00000170456",-0.0666351259804409,1,"ENSG00000170456","DENND5B"
"67","ENSG00000119285",-0.0662783406133545,1,"ENSG00000119285","HEATR1"
"68","ENSG00000197969",-0.0662034110327171,1,"ENSG00000197969","VPS13A"
"69","ENSG00000120694",-0.0661157124420057,1,"ENSG00000120694","HSPH1"
"70","ENSG00000167850",0.0660779849214841,1,"ENSG00000167850","CD300C"
"71","ENSG00000167232",-0.0650010236376213,1,"ENSG00000167232","ZNF91"
"72","ENSG00000135913",-0.0646413165425241,1,"ENSG00000135913","USP37"
"73","ENSG00000118922",-0.0644141233774609,1,"ENSG00000118922","KLF12"
"74","ENSG00000173451",-0.0637439759005779,1,"ENSG00000173451","THAP2"
"75","ENSG00000071794",-0.0634053018288322,1,"ENSG00000071794","HLTF"
"76","ENSG00000120800",-0.0632320181203927,1,"ENSG00000120800","UTP20"
"77","ENSG00000165169",-0.0626024319919442,1,"ENSG00000165169","DYNLT3"
"78","ENSG00000154269",-0.0623849616941296,1,"ENSG00000154269","ENPP3"
"79","ENSG00000076554",-0.0623447874949911,1,"ENSG00000076554","TPD52"
"80","ENSG00000116984",-0.0621609656118494,1,"ENSG00000116984","MTR"
"81","ENSG00000165512",-0.0618974395321064,1,"ENSG00000165512","ZNF22"
"82","ENSG00000101213",0.0614672836176683,1,"ENSG00000101213","PTK6"
"83","ENSG00000175711",0.0610239151815083,1,"ENSG00000175711","B3GNTL1"
"84","ENSG00000174791",0.060864218829261,1,"ENSG00000174791","RIN1"
"85","ENSG00000082438",-0.0604169357882633,1,"ENSG00000082438","COBLL1"
"86","ENSG00000141505",0.0601512203238307,1,"ENSG00000141505","ASGR1"
"87","ENSG00000213626",-0.0600884518666127,1,"ENSG00000213626","LBH"
"88","ENSG00000165886",0.0597761137037304,1,"ENSG00000165886","UBTD1"
"89","ENSG00000197046",0.0597498324364596,1,"ENSG00000197046","SIGLEC15"
"90","ENSG00000101745",-0.0596371197816528,1,"ENSG00000101745","ANKRD12"
"91","ENSG00000186020",-0.0594460362858287,1,"ENSG00000186020","ZNF529"
"92","ENSG00000103657",-0.0593216950479087,1,"ENSG00000103657","HERC1"
"93","ENSG00000091490",-0.0590364898434781,1,"ENSG00000091490","SEL1L3"
"94","ENSG00000174307",0.058869269347088,1,"ENSG00000174307","PHLDA3"
"95","ENSG00000152689",-0.0583525216315969,1,"ENSG00000152689","RASGRP3"
"96","ENSG00000151623",-0.0581399182653506,1,"ENSG00000151623","NR3C2"
"97","ENSG00000130948",-0.0581010363176007,1,"ENSG00000130948","HSD17B3"
"98","ENSG00000089335",-0.0580446525763176,1,"ENSG00000089335","ZNF302"
