"","name","value.var","comp","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000065618",0.135237205118758,1,"ENSG00000065618","COL17A1"
"2","ENSG00000137673",0.13127304977813,1,"ENSG00000137673","MMP7"
"3","ENSG00000211448",0.126455850070203,1,"ENSG00000211448","DIO2"
"4","ENSG00000105664",0.125225493001333,1,"ENSG00000105664","COMP"
"5","ENSG00000166922",0.123813379058889,1,"ENSG00000166922","SCG5"
"6","ENSG00000123496",0.122886823885152,1,"ENSG00000123496","IL13RA2"
"7","ENSG00000167434",-0.10744493677198,1,"ENSG00000167434","CA4"
"8","ENSG00000143320",0.104501053864877,1,"ENSG00000143320","CRABP2"
"9","ENSG00000115756",-0.103764349197625,1,"ENSG00000115756","HPCAL1"
"10","ENSG00000115641",0.101968589681036,1,"ENSG00000115641","FHL2"
"11","ENSG00000158764",-0.0996671357587372,1,"ENSG00000158764","ITLN2"
"12","ENSG00000124920",-0.0984382777422669,1,"ENSG00000124920","MYRF"
"13","ENSG00000123119",-0.0983413112578883,1,"ENSG00000123119","NECAB1"
"14","ENSG00000164932",0.0981942850788986,1,"ENSG00000164932","CTHRC1"
"15","ENSG00000102934",-0.0962353293296961,1,"ENSG00000102934","PLLP"
"16","ENSG00000137573",0.0954415137967168,1,"ENSG00000137573","SULF1"
"17","ENSG00000187955",0.0942600661428501,1,"ENSG00000187955","COL14A1"
"18","ENSG00000171004",0.0938668110916153,1,"ENSG00000171004","HS6ST2"
"19","ENSG00000145423",0.0924788459688984,1,"ENSG00000145423","SFRP2"
"20","ENSG00000165810",-0.0918005055158141,1,"ENSG00000165810","BTNL9"
"21","ENSG00000128422",0.0905426957177484,1,"ENSG00000128422","KRT17"
"22","ENSG00000154319",-0.0904579409408596,1,"ENSG00000154319","FAM167A"
"23","ENSG00000105339",-0.0894968324669024,1,"ENSG00000105339","DENND3"
"24","ENSG00000133083",0.0889891268161195,1,"ENSG00000133083","DCLK1"
"25","ENSG00000138271",0.0887997819458354,1,"ENSG00000138271","GPR87"
"26","ENSG00000099953",0.0877984121231341,1,"ENSG00000099953","MMP11"
"27","ENSG00000105227",-0.087010263276289,1,"ENSG00000105227","PRX"
"28","ENSG00000204866",0.0867664822820251,1,"ENSG00000204866","IGFL2"
"29","ENSG00000204305",-0.0858564416577443,1,"ENSG00000204305","AGER"
"30","ENSG00000163251",-0.0858273320743403,1,"ENSG00000163251","FZD5"
"31","ENSG00000196611",0.0857955234158164,1,"ENSG00000196611","MMP1"
"32","ENSG00000184254",0.0855210656971752,1,"ENSG00000184254","ALDH1A3"
"33","ENSG00000055813",-0.085322687668965,1,"ENSG00000055813","CCDC85A"
"34","ENSG00000204291",0.0849771840299631,1,"ENSG00000204291","COL15A1"
"35","ENSG00000170558",0.0835147932998814,1,"ENSG00000170558","CDH2"
"36","ENSG00000155066",0.0827781324105893,1,"ENSG00000155066","PROM2"
"37","ENSG00000164694",0.0825552484340079,1,"ENSG00000164694","FNDC1"
"38","ENSG00000135052",0.0818830386099234,1,"ENSG00000135052","GOLM1"
"39","ENSG00000198682",-0.081756437261897,1,"ENSG00000198682","PAPSS2"
"40","ENSG00000205403",0.0807236949584087,1,"ENSG00000205403","CFI"
"41","ENSG00000137486",-0.0802139776831547,1,"ENSG00000137486","ARRB1"
"42","ENSG00000171877",0.0799486245970127,1,"ENSG00000171877","FRMD5"
"43","ENSG00000123500",0.0793074908157889,1,"ENSG00000123500","COL10A1"
"44","ENSG00000111666",-0.0792999876067806,1,"ENSG00000111666","CHPT1"
"45","ENSG00000035664",-0.0786504090747582,1,"ENSG00000035664","DAPK2"
"46","ENSG00000128606",0.0783241227931682,1,"ENSG00000128606","LRRC17"
"47","ENSG00000113805",0.0779772524705246,1,"ENSG00000113805","CNTN3"
"48","ENSG00000109654",0.0768315998189395,1,"ENSG00000109654","TRIM2"
"49","ENSG00000133019",-0.0760520043775864,1,"ENSG00000133019","CHRM3"
"50","ENSG00000099284",0.0759386038104346,1,"ENSG00000099284","MACROH2A2"
"51","ENSG00000175928",0.0755839538449413,1,"ENSG00000175928","LRRN1"
"52","ENSG00000182463",0.0754054118956404,1,"ENSG00000182463","TSHZ2"
"53","ENSG00000145569",-0.0751553024198102,1,"ENSG00000145569","OTULINL"
"54","ENSG00000106819",0.0744607426481397,1,"ENSG00000106819","ASPN"
"55","ENSG00000135643",-0.0736928422999751,1,"ENSG00000135643","KCNMB4"
"56","ENSG00000168952",-0.0736274051318618,1,"ENSG00000168952","STXBP6"
"57","ENSG00000186081",0.0733132347691335,1,"ENSG00000186081","KRT5"
"58","ENSG00000104783",0.0713237388714263,1,"ENSG00000104783","KCNN4"
"59","ENSG00000095713",-0.0708893273728525,1,"ENSG00000095713","CRTAC1"
"60","ENSG00000127329",-0.070531379416801,1,"ENSG00000127329","PTPRB"
"61","ENSG00000163347",0.0700632626205902,1,"ENSG00000163347","CLDN1"
"62","ENSG00000180440",-0.0688660920859078,1,"ENSG00000180440","SERTM1"
"63","ENSG00000049323",0.0683964299108665,1,"ENSG00000049323","LTBP1"
"64","ENSG00000166923",0.0683108098920506,1,"ENSG00000166923","GREM1"
"65","ENSG00000211445",-0.0680065180081083,1,"ENSG00000211445","GPX3"
"66","ENSG00000113296",0.0670724059168414,1,"ENSG00000113296","THBS4"
"67","ENSG00000116016",-0.0670495098793718,1,"ENSG00000116016","EPAS1"
"68","ENSG00000149380",0.0669576366575888,1,"ENSG00000149380","P4HA3"
"69","ENSG00000151789",0.0663040485382012,1,"ENSG00000151789","ZNF385D"
"70","ENSG00000168675",0.0657854164655707,1,"ENSG00000168675","LDLRAD4"
"71","ENSG00000169252",-0.0657651873389834,1,"ENSG00000169252","ADRB2"
"72","ENSG00000059573",0.0656466247261419,1,"ENSG00000059573","ALDH18A1"
"73","ENSG00000161647",-0.0656065887776385,1,"ENSG00000161647","MPP3"
"74","ENSG00000144278",-0.0653168702483466,1,"ENSG00000144278","GALNT13"
"75","ENSG00000171509",-0.0649917908220855,1,"ENSG00000171509","RXFP1"
"76","ENSG00000132031",-0.0649430537447968,1,"ENSG00000132031","MATN3"
"77","ENSG00000135604",-0.0648409292966327,1,"ENSG00000135604","STX11"
"78","ENSG00000019186",0.0647051878496527,1,"ENSG00000019186","CYP24A1"
"79","ENSG00000132386",0.0645607565099801,1,"ENSG00000132386","SERPINF1"
"80","ENSG00000003096",0.0644970428107737,1,"ENSG00000003096","KLHL13"
"81","ENSG00000138772",-0.0644297065688453,1,"ENSG00000138772","ANXA3"
"82","ENSG00000092929",-0.0640195588350759,1,"ENSG00000092929","UNC13D"
"83","ENSG00000263155",-0.0637375008482511,1,"ENSG00000263155","MYZAP"
"84","ENSG00000115109",-0.0636292517434932,1,"ENSG00000115109","EPB41L5"
