"","name","value.var","comp","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000121957",0.526500450761803,1,"ENSG00000121957","GPSM2"
"2","ENSG00000157214",0.236049230416453,1,"ENSG00000157214","STEAP2"
"3","ENSG00000175928",0.234427648253099,1,"ENSG00000175928","LRRN1"
"4","ENSG00000038427",0.22141887915993,1,"ENSG00000038427","VCAN"
"5","ENSG00000262655",0.212361324199992,1,"ENSG00000262655","SPON1"
"6","ENSG00000164647",0.209578862213273,1,"ENSG00000164647","STEAP1"
"7","ENSG00000134874",0.207512518517168,1,"ENSG00000134874","DZIP1"
"8","ENSG00000164070",0.205665835800499,1,"ENSG00000164070","HSPA4L"
"9","ENSG00000049323",0.19306585216457,1,"ENSG00000049323","LTBP1"
"10","ENSG00000169902",0.187147694721558,1,"ENSG00000169902","TPST1"
"11","ENSG00000198108",0.173959313926744,1,"ENSG00000198108","CHSY3"
"12","ENSG00000134121",0.171737087280518,1,"ENSG00000134121","CHL1"
"13","ENSG00000196136",0.169274448255632,1,"ENSG00000196136","SERPINA3"
"14","ENSG00000089123",0.149270442924007,1,"ENSG00000089123","TASP1"
"15","ENSG00000112183",0.143543957654333,1,"ENSG00000112183","RBM24"
"16","ENSG00000154856",0.130169354153298,1,"ENSG00000154856","APCDD1"
"17","ENSG00000105664",0.127582043873781,1,"ENSG00000105664","COMP"
"18","ENSG00000115594",0.124866402072021,1,"ENSG00000115594","IL1R1"
"19","ENSG00000084636",0.119362767800798,1,"ENSG00000084636","COL16A1"
"20","ENSG00000065154",0.114033157154901,1,"ENSG00000065154","OAT"
"21","ENSG00000204262",0.112200536378026,1,"ENSG00000204262","COL5A2"
"22","ENSG00000018625",0.0957634377163122,1,"ENSG00000018625","ATP1A2"
"23","ENSG00000132386",0.0910885974406314,1,"ENSG00000132386","SERPINF1"
"24","ENSG00000174705",0.090480233022668,1,"ENSG00000174705","SH3PXD2B"
"25","ENSG00000163520",0.0876485653152701,1,"ENSG00000163520","FBLN2"
"26","ENSG00000083857",0.0853070162803117,1,"ENSG00000083857","FAT1"
"27","ENSG00000108582",0.0787703856532623,1,"ENSG00000108582","CPD"
"28","ENSG00000102359",0.0774538610070962,1,"ENSG00000102359","SRPX2"
"29","ENSG00000154269",0.0757587351510869,1,"ENSG00000154269","ENPP3"
"30","ENSG00000067113",0.0661788723043858,1,"ENSG00000067113","PLPP1"
"31","ENSG00000166250",0.0628880772565837,1,"ENSG00000166250","CLMP"
"32","ENSG00000017427",0.0589520236450178,1,"ENSG00000017427","IGF1"
"33","ENSG00000138271",0.0506456366088575,1,"ENSG00000138271","GPR87"
"34","ENSG00000113805",0.0491952152433234,1,"ENSG00000113805","CNTN3"
"35","ENSG00000164879",0.0483404959058847,1,"ENSG00000164879","CA3"
"36","ENSG00000186635",-0.0471128377586125,1,"ENSG00000186635","ARAP1"
"37","ENSG00000137501",0.0465050755887203,1,"ENSG00000137501","SYTL2"
"38","ENSG00000102468",0.0440584043461837,1,"ENSG00000102468","HTR2A"
"39","ENSG00000166402",0.0423795010524893,1,"ENSG00000166402","TUB"
"40","ENSG00000106278",0.0419468537716836,1,"ENSG00000106278","PTPRZ1"
"41","ENSG00000113916",0.0372692527158231,1,"ENSG00000113916","BCL6"
"42","ENSG00000065618",0.0336213355851439,1,"ENSG00000065618","COL17A1"
"43","ENSG00000120820",0.0335782932234644,1,"ENSG00000120820","GLT8D2"
"44","ENSG00000160145",0.0327893794635808,1,"ENSG00000160145","KALRN"
"45","ENSG00000205213",0.0307438240648166,1,"ENSG00000205213","LGR4"
"46","ENSG00000101447",0.030223633982074,1,"ENSG00000101447","FAM83D"
"47","ENSG00000123496",0.0281559391912775,1,"ENSG00000123496","IL13RA2"
"48","ENSG00000211448",0.0201774461057318,1,"ENSG00000211448","DIO2"
"49","ENSG00000240065",-0.0166840198104556,1,"ENSG00000240065","PSMB9"
"50","ENSG00000070087",0.0147678732496697,1,"ENSG00000070087","PFN2"
"51","ENSG00000165731",0.0135598436404769,1,"ENSG00000165731","RET"
"52","ENSG00000171004",0.0130635866448394,1,"ENSG00000171004","HS6ST2"
"53","ENSG00000175426",0.0116638895772891,1,"ENSG00000175426","PCSK1"
"54","ENSG00000166263",0.00940826208388952,1,"ENSG00000166263","STXBP4"
"55","ENSG00000118596",0.00549017311137723,1,"ENSG00000118596","SLC16A7"
"56","ENSG00000154146",-0.00313137828875909,1,"ENSG00000154146","NRGN"
"57","ENSG00000197496",0.00181637319693606,1,"ENSG00000197496","SLC2A10"
