"","name","value.var","comp","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000121957",0.20243956930076,1,"ENSG00000121957","GPSM2"
"2","ENSG00000157214",0.12993129081656,1,"ENSG00000157214","STEAP2"
"3","ENSG00000175928",0.129526478845222,1,"ENSG00000175928","LRRN1"
"4","ENSG00000038427",0.126278968123723,1,"ENSG00000038427","VCAN"
"5","ENSG00000262655",0.124017838985961,1,"ENSG00000262655","SPON1"
"6","ENSG00000164647",0.123323224832284,1,"ENSG00000164647","STEAP1"
"7","ENSG00000134874",0.122807382537034,1,"ENSG00000134874","DZIP1"
"8","ENSG00000164070",0.122346376435792,1,"ENSG00000164070","HSPA4L"
"9","ENSG00000049323",0.119200914966276,1,"ENSG00000049323","LTBP1"
"10","ENSG00000169902",0.117723505411994,1,"ENSG00000169902","TPST1"
"11","ENSG00000198108",0.114431156403134,1,"ENSG00000198108","CHSY3"
"12","ENSG00000134121",0.113876399468982,1,"ENSG00000134121","CHL1"
"13","ENSG00000196136",0.113261625958958,1,"ENSG00000196136","SERPINA3"
"14","ENSG00000089123",0.108267823599786,1,"ENSG00000089123","TASP1"
"15","ENSG00000112183",0.106838263110505,1,"ENSG00000112183","RBM24"
"16","ENSG00000154856",0.103499425442288,1,"ENSG00000154856","APCDD1"
"17","ENSG00000105664",0.102853528984875,1,"ENSG00000105664","COMP"
"18","ENSG00000115594",0.102175595830415,1,"ENSG00000115594","IL1R1"
"19","ENSG00000084636",0.100801667891884,1,"ENSG00000084636","COL16A1"
"20","ENSG00000065154",0.0994711832326505,1,"ENSG00000065154","OAT"
"21","ENSG00000204262",0.0990136875557945,1,"ENSG00000204262","COL5A2"
"22","ENSG00000018625",0.0949103282178005,1,"ENSG00000018625","ATP1A2"
"23","ENSG00000132386",0.0937433005145767,1,"ENSG00000132386","SERPINF1"
"24","ENSG00000174705",0.0935914283462135,1,"ENSG00000174705","SH3PXD2B"
"25","ENSG00000163520",0.0928845304703547,1,"ENSG00000163520","FBLN2"
"26","ENSG00000083857",0.0922999858803567,1,"ENSG00000083857","FAT1"
"27","ENSG00000108582",0.0906681806041011,1,"ENSG00000108582","CPD"
"28","ENSG00000102359",0.0903395232289933,1,"ENSG00000102359","SRPX2"
"29","ENSG00000154269",0.0899163518011469,1,"ENSG00000154269","ENPP3"
"30","ENSG00000067113",0.0875248336580896,1,"ENSG00000067113","PLPP1"
"31","ENSG00000166250",0.0867033191763231,1,"ENSG00000166250","CLMP"
"32","ENSG00000017427",0.0857207222670836,1,"ENSG00000017427","IGF1"
"33","ENSG00000138271",0.083647114782497,1,"ENSG00000138271","GPR87"
"34","ENSG00000113805",0.0832850314138454,1,"ENSG00000113805","CNTN3"
"35","ENSG00000164879",0.0830716591729881,1,"ENSG00000164879","CA3"
"36","ENSG00000186635",-0.0827651864416291,1,"ENSG00000186635","ARAP1"
"37","ENSG00000137501",0.0826134646185487,1,"ENSG00000137501","SYTL2"
"38","ENSG00000102468",0.0820026773076806,1,"ENSG00000102468","HTR2A"
"39","ENSG00000166402",0.0815835556822919,1,"ENSG00000166402","TUB"
"40","ENSG00000106278",0.0814755495617297,1,"ENSG00000106278","PTPRZ1"
"41","ENSG00000113916",0.080307832657001,1,"ENSG00000113916","BCL6"
"42","ENSG00000065618",0.0793971661744018,1,"ENSG00000065618","COL17A1"
"43","ENSG00000120820",0.0793864210739213,1,"ENSG00000120820","GLT8D2"
"44","ENSG00000160145",0.0791894765455642,1,"ENSG00000160145","KALRN"
"45","ENSG00000205213",0.0786788238434268,1,"ENSG00000205213","LGR4"
"46","ENSG00000101447",0.0785489635269876,1,"ENSG00000101447","FAM83D"
"47","ENSG00000123496",0.0780327839442916,1,"ENSG00000123496","IL13RA2"
"48","ENSG00000211448",0.0760410319459934,1,"ENSG00000211448","DIO2"
"49","ENSG00000240065",-0.0751689325746059,1,"ENSG00000240065","PSMB9"
"50","ENSG00000070087",0.0746905855107484,1,"ENSG00000070087","PFN2"
"51","ENSG00000165731",0.0743890128500573,1,"ENSG00000165731","RET"
"52","ENSG00000171004",0.074265127192436,1,"ENSG00000171004","HS6ST2"
"53","ENSG00000175426",0.0739157066437917,1,"ENSG00000175426","PCSK1"
"54","ENSG00000166263",0.0733526115180299,1,"ENSG00000166263","STXBP4"
"55","ENSG00000118596",0.0723744993035004,1,"ENSG00000118596","SLC16A7"
"56","ENSG00000154146",-0.0717856494729433,1,"ENSG00000154146","NRGN"
"57","ENSG00000197496",0.0714573714395692,1,"ENSG00000197496","SLC2A10"
"58","ENSG00000139220",0.0710039318105739,1,"ENSG00000139220","PPFIA2"
"59","ENSG00000196569",0.0689386727741129,1,"ENSG00000196569","LAMA2"
"60","ENSG00000114455",0.0672787567724115,1,"ENSG00000114455","HHLA2"
"61","ENSG00000171443",-0.066362099470129,1,"ENSG00000171443","ZNF524"
"62","ENSG00000242247",0.0659383431053651,1,"ENSG00000242247","ARFGAP3"
"63","ENSG00000137821",0.0652494695698139,1,"ENSG00000137821","LRRC49"
"64","ENSG00000102595",0.0647804631800684,1,"ENSG00000102595","UGGT2"
"65","ENSG00000122367",0.0642866436334851,1,"ENSG00000122367","LDB3"
"66","ENSG00000040608",-0.0632255085456075,1,"ENSG00000040608","RTN4R"
"67","ENSG00000106819",0.063206520628047,1,"ENSG00000106819","ASPN"
"68","ENSG00000142156",0.0631359290599552,1,"ENSG00000142156","COL6A1"
"69","ENSG00000120328",0.0624345803119539,1,"ENSG00000120328","PCDHB12"
"70","ENSG00000164106",0.0624120973912808,1,"ENSG00000164106","SCRG1"
"71","ENSG00000064655",0.0623131536586156,1,"ENSG00000064655","EYA2"
"72","ENSG00000101230",0.0618819093200679,1,"ENSG00000101230","ISM1"
"73","ENSG00000139324",0.0616136289234168,1,"ENSG00000139324","TMTC3"
"74","ENSG00000115756",-0.060950259128327,1,"ENSG00000115756","HPCAL1"
"75","ENSG00000132837",0.060595218906285,1,"ENSG00000132837","DMGDH"
"76","ENSG00000164294",0.0599973471856161,1,"ENSG00000164294","GPX8"
"77","ENSG00000163110",0.0596218402299297,1,"ENSG00000163110","PDLIM5"
"78","ENSG00000188488",0.0590771373956714,1,"ENSG00000188488","SERPINA5"
"79","ENSG00000145423",0.0590152272304193,1,"ENSG00000145423","SFRP2"
"80","ENSG00000157873",-0.0589984069091091,1,"ENSG00000157873","TNFRSF14"
"81","ENSG00000165392",0.0587385588715096,1,"ENSG00000165392","WRN"
"82","ENSG00000170500",0.0586866363697266,1,"ENSG00000170500","LONRF2"
"83","ENSG00000114270",0.0586408818406718,1,"ENSG00000114270","COL7A1"
"84","ENSG00000133083",0.058607843169863,1,"ENSG00000133083","DCLK1"
"85","ENSG00000128606",0.0583191575147448,1,"ENSG00000128606","LRRC17"
"86","ENSG00000003096",0.0577697010318344,1,"ENSG00000003096","KLHL13"
"87","ENSG00000162614",0.0570778807761475,1,"ENSG00000162614","NEXN"
"88","ENSG00000112210",0.0570043585159974,1,"ENSG00000112210","RAB23"
"89","ENSG00000089472",0.0561881482963884,1,"ENSG00000089472","HEPH"
"90","ENSG00000115170",0.0561727850221144,1,"ENSG00000115170","ACVR1"
"91","ENSG00000171385",0.0560564113880466,1,"ENSG00000171385","KCND3"
"92","ENSG00000135424",0.055784137397596,1,"ENSG00000135424","ITGA7"
"93","ENSG00000165338",0.0548202652232235,1,"ENSG00000165338","HECTD2"
"94","ENSG00000168079",0.0548201817711852,1,"ENSG00000168079","SCARA5"
"95","ENSG00000113391",0.0543754921858325,1,"ENSG00000113391","FAM172A"
"96","ENSG00000083720",0.0543398539231315,1,"ENSG00000083720","OXCT1"
"97","ENSG00000130303",-0.0540760696375267,1,"ENSG00000130303","BST2"
"98","ENSG00000115657",0.0535472691982646,1,"ENSG00000115657","ABCB6"
"99","ENSG00000165959",0.0533459833257625,1,"ENSG00000165959","CLMN"
"100","ENSG00000213190",0.0530120661974646,1,"ENSG00000213190","MLLT11"
"101","ENSG00000113083",0.0529126714533549,1,"ENSG00000113083","LOX"
"102","ENSG00000132000",0.0528493820431454,1,"ENSG00000132000","PODNL1"
"103","ENSG00000187955",0.0524738584725561,1,"ENSG00000187955","COL14A1"
"104","ENSG00000174437",0.0521644665683086,1,"ENSG00000174437","ATP2A2"
"105","ENSG00000110881",0.0519308504944979,1,"ENSG00000110881","ASIC1"
"106","ENSG00000172817",0.0518561962615385,1,"ENSG00000172817","CYP7B1"
"107","ENSG00000137494",0.0516717630584089,1,"ENSG00000137494","ANKRD42"
"108","ENSG00000019549",0.0515243863278912,1,"ENSG00000019549","SNAI2"
"109","ENSG00000183098",0.0515085222075339,1,"ENSG00000183098","GPC6"
"110","ENSG00000148948",0.05146880677162,1,"ENSG00000148948","LRRC4C"
"111","ENSG00000180875",0.0511959477014942,1,"ENSG00000180875","GREM2"
"112","ENSG00000104886",-0.0511113593995541,1,"ENSG00000104886","PLEKHJ1"
"113","ENSG00000109654",0.0507950741845306,1,"ENSG00000109654","TRIM2"
"114","ENSG00000149380",0.0505204113416646,1,"ENSG00000149380","P4HA3"
"115","ENSG00000120327",0.0504330276278482,1,"ENSG00000120327","PCDHB14"
"116","ENSG00000198523",0.0501777563402804,1,"ENSG00000198523","PLN"
"117","ENSG00000116717",0.0501647026966375,1,"ENSG00000116717","GADD45A"
"118","ENSG00000179909",0.0500363270271225,1,"ENSG00000179909","ZNF154"
"119","ENSG00000152217",0.0499140911333171,1,"ENSG00000152217","SETBP1"
"120","ENSG00000166923",0.0494841549522132,1,"ENSG00000166923","GREM1"
"121","ENSG00000125398",0.049462504182257,1,"ENSG00000125398","SOX9"
"122","ENSG00000092010",-0.0491954714040764,1,"ENSG00000092010","PSME1"
"123","ENSG00000169507",0.0488445786881422,1,"ENSG00000169507","SLC38A11"
"124","ENSG00000171346",0.0487863173359334,1,"ENSG00000171346","KRT15"
"125","ENSG00000182463",0.0486371071417437,1,"ENSG00000182463","TSHZ2"
"126","ENSG00000117174",0.0482052056458506,1,"ENSG00000117174","ZNHIT6"
"127","ENSG00000154917",0.0479927934740709,1,"ENSG00000154917","RAB6B"
"128","ENSG00000124215",0.0478712537911745,1,"ENSG00000124215","CDH26"
"129","ENSG00000258315",-0.0478214476330659,1,"ENSG00000258315","C17orf49"
"130","ENSG00000133687",0.0477698822690403,1,"ENSG00000133687","TMTC1"
"131","ENSG00000156011",0.0477448034464818,1,"ENSG00000156011","PSD3"
"132","ENSG00000157150",0.0476542710710331,1,"ENSG00000157150","TIMP4"
"133","ENSG00000204936",0.0470908319404478,1,"ENSG00000204936","CD177"
"134","ENSG00000147100",0.0470592779636675,1,"ENSG00000147100","SLC16A2"
"135","ENSG00000243244",0.0468265632959094,1,"ENSG00000243244","STON1"
"136","ENSG00000006283",0.0464816158384667,1,"ENSG00000006283","CACNA1G"
"137","ENSG00000135002",0.0463668534646184,1,"ENSG00000135002","RFK"
"138","ENSG00000130748",-0.0463185689062933,1,"ENSG00000130748","TMEM160"
"139","ENSG00000143341",0.0462555561721782,1,"ENSG00000143341","HMCN1"
"140","ENSG00000168899",-0.0455602783039113,1,"ENSG00000168899","VAMP5"
"141","ENSG00000171757",0.0454059006624358,1,"ENSG00000171757","LRRC34"
"142","ENSG00000163017",0.045364764715793,1,"ENSG00000163017","ACTG2"
"143","ENSG00000139971",0.0446883850813429,1,"ENSG00000139971","ARMH4"
"144","ENSG00000133107",0.0446590683469241,1,"ENSG00000133107","TRPC4"
"145","ENSG00000122971",-0.0443785188534072,1,"ENSG00000122971","ACADS"
"146","ENSG00000170262",0.0443095459804072,1,"ENSG00000170262","MRAP"
"147","ENSG00000068079",-0.0442806487246555,1,"ENSG00000068079","IFI35"
"148","ENSG00000138615",0.0442270827482703,1,"ENSG00000138615","CILP"
"149","ENSG00000112796",0.0435787568979646,1,"ENSG00000112796","ENPP5"
"150","ENSG00000133103",0.0435149497739385,1,"ENSG00000133103","COG6"
"151","ENSG00000188158",0.0434654845828097,1,"ENSG00000188158","NHS"
"152","ENSG00000073060",-0.0434336164640558,1,"ENSG00000073060","SCARB1"
"153","ENSG00000115641",0.0433644186266024,1,"ENSG00000115641","FHL2"
"154","ENSG00000162627",0.0432782155614182,1,"ENSG00000162627","SNX7"
"155","ENSG00000131788",0.0431612734493886,1,"ENSG00000131788","PIAS3"
"156","ENSG00000204104",0.0429749642581883,1,"ENSG00000204104","TRAF3IP1"
"157","ENSG00000070526",0.0428550153468202,1,"ENSG00000070526","ST6GALNAC1"
"158","ENSG00000137975",0.0427345868439019,1,"ENSG00000137975","CLCA2"
"159","ENSG00000156313",0.0426068657637419,1,"ENSG00000156313","RPGR"
"160","ENSG00000152583",0.0424002948347548,1,"ENSG00000152583","SPARCL1"
"161","ENSG00000115461",0.0422868743333134,1,"ENSG00000115461","IGFBP5"
"162","ENSG00000163430",0.0422117090956928,1,"ENSG00000163430","FSTL1"
"163","ENSG00000057149",0.0421481830719128,1,"ENSG00000057149","SERPINB3"
"164","ENSG00000111716",0.042122537465274,1,"ENSG00000111716","LDHB"
"165","ENSG00000166503",0.041229613083753,1,"ENSG00000166503","HDGFL3"
"166","ENSG00000145623",0.040708601559408,1,"ENSG00000145623","OSMR"
"167","ENSG00000070081",0.040590397512826,1,"ENSG00000070081","NUCB2"
"168","ENSG00000156140",0.0404496990655453,1,"ENSG00000156140","ADAMTS3"
"169","ENSG00000100916",0.0404391055430514,1,"ENSG00000100916","BRMS1L"
"170","ENSG00000106049",0.0402416760576403,1,"ENSG00000106049","HIBADH"
"171","ENSG00000151208",0.0401173552705797,1,"ENSG00000151208","DLG5"
"172","ENSG00000095637",0.0399908322434011,1,"ENSG00000095637","SORBS1"
"173","ENSG00000077063",0.039942681888766,1,"ENSG00000077063","CTTNBP2"
"174","ENSG00000065534",0.0397372469281937,1,"ENSG00000065534","MYLK"
"175","ENSG00000159216",0.0397334368001251,1,"ENSG00000159216","RUNX1"
"176","ENSG00000135245",0.0396126338322409,1,"ENSG00000135245","HILPDA"
"177","ENSG00000151914",0.0392656579255844,1,"ENSG00000151914","DST"
"178","ENSG00000067445",0.0392057808367193,1,"ENSG00000067445","TRO"
"179","ENSG00000186310",0.0383887013538898,1,"ENSG00000186310","NAP1L3"
"180","ENSG00000175899",0.0377606429789486,1,"ENSG00000175899","A2M"
"181","ENSG00000090539",0.0376781703938155,1,"ENSG00000090539","CHRD"
"182","ENSG00000173068",0.037620233212618,1,"ENSG00000173068","BNC2"
"183","ENSG00000164949",0.0375612665362485,1,"ENSG00000164949","GEM"
"184","ENSG00000204176",-0.0374898324026145,1,"ENSG00000204176","SYT15"
"185","ENSG00000111816",0.0374337849452906,1,"ENSG00000111816","FRK"
"186","ENSG00000173535",0.0372002516225041,1,"ENSG00000173535","TNFRSF10C"
"187","ENSG00000145687",0.0366408118107142,1,"ENSG00000145687","SSBP2"
"188","ENSG00000151067",0.036489929202318,1,"ENSG00000151067","CACNA1C"
"189","ENSG00000187266",-0.0361698355362968,1,"ENSG00000187266","EPOR"
"190","ENSG00000131746",0.0360550650134936,1,"ENSG00000131746","TNS4"
