"","name","value.var","comp","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000119138",0.253399157554434,1,"ENSG00000119138","KLF9"
"2","ENSG00000185950",0.217427364442847,1,"ENSG00000185950","IRS2"
"3","ENSG00000001561",0.21448459828914,1,"ENSG00000001561","ENPP4"
"4","ENSG00000137269",0.192413540182097,1,"ENSG00000137269","LRRC1"
"5","ENSG00000168309",0.179918412350368,1,"ENSG00000168309","FAM107A"
"6","ENSG00000101160",-0.175732204235495,1,"ENSG00000101160","CTSZ"
"7","ENSG00000104835",-0.175062171924394,1,"ENSG00000104835","SARS2"
"8","ENSG00000154319",0.175010844809956,1,"ENSG00000154319","FAM167A"
"9","ENSG00000108515",-0.164500275718888,1,"ENSG00000108515","ENO3"
"10","ENSG00000087495",0.162237204148023,1,"ENSG00000087495","PHACTR3"
"11","ENSG00000154153",0.159271797186642,1,"ENSG00000154153","RETREG1"
"12","ENSG00000157557",0.149278147610455,1,"ENSG00000157557","ETS2"
"13","ENSG00000056558",-0.143151942214705,1,"ENSG00000056558","TRAF1"
"14","ENSG00000157445",0.131939798149285,1,"ENSG00000157445","CACNA2D3"
"15","ENSG00000160791",-0.131194263666457,1,"ENSG00000160791","CCR5"
"16","ENSG00000100234",0.120756787564723,1,"ENSG00000100234","TIMP3"
"17","ENSG00000156049",0.119932765902939,1,"ENSG00000156049","GNA14"
"18","ENSG00000148498",0.118335696517642,1,"ENSG00000148498","PARD3"
"19","ENSG00000196814",0.116785866208738,1,"ENSG00000196814","MVB12B"
"20","ENSG00000117594",0.116178561742702,1,"ENSG00000117594","HSD11B1"
"21","ENSG00000197121",0.114749872618228,1,"ENSG00000197121","PGAP1"
"22","ENSG00000164176",0.114340825917379,1,"ENSG00000164176","EDIL3"
"23","ENSG00000179583",-0.112964536363312,1,"ENSG00000179583","CIITA"
"24","ENSG00000239306",-0.11253749924428,1,"ENSG00000239306","RBM14"
"25","ENSG00000168994",0.110004241286349,1,"ENSG00000168994","PXDC1"
"26","ENSG00000104081",-0.107950170753221,1,"ENSG00000104081","BMF"
"27","ENSG00000165025",-0.105841781995628,1,"ENSG00000165025","SYK"
"28","ENSG00000086696",0.104072999193812,1,"ENSG00000086696","HSD17B2"
"29","ENSG00000179051",-0.102572344053803,1,"ENSG00000179051","RCC2"
"30","ENSG00000214756",-0.100200032180553,1,"ENSG00000214756","CSKMT"
"31","ENSG00000164611",-0.0959860692233098,1,"ENSG00000164611","PTTG1"
"32","ENSG00000171425",-0.094907597858193,1,"ENSG00000171425","ZNF581"
"33","ENSG00000069702",0.0938519643815891,1,"ENSG00000069702","TGFBR3"
"34","ENSG00000151689",0.0931399328957172,1,"ENSG00000151689","INPP1"
"35","ENSG00000177051",-0.0925981371805342,1,"ENSG00000177051","FBXO46"
"36","ENSG00000170476",-0.0914639066048278,1,"ENSG00000170476","MZB1"
"37","ENSG00000007933",0.091178962018496,1,"ENSG00000007933","FMO3"
"38","ENSG00000196535",-0.0904389205341199,1,"ENSG00000196535","MYO18A"
"39","ENSG00000100532",0.0885198937791222,1,"ENSG00000100532","CGRRF1"
"40","ENSG00000102010",0.0868366669703584,1,"ENSG00000102010","BMX"
"41","ENSG00000151967",0.0854642154488361,1,"ENSG00000151967","SCHIP1"
"42","ENSG00000095585",-0.0850963208999124,1,"ENSG00000095585","BLNK"
"43","ENSG00000161896",0.0850323203118766,1,"ENSG00000161896","IP6K3"
"44","ENSG00000206538",0.083529856271114,1,"ENSG00000206538","VGLL3"
"45","ENSG00000116285",0.0830710111680681,1,"ENSG00000116285","ERRFI1"
"46","ENSG00000086189",0.0826905955083453,1,"ENSG00000086189","DIMT1"
"47","ENSG00000181634",-0.0807622214591372,1,"ENSG00000181634","TNFSF15"
"48","ENSG00000007952",0.0802721166080718,1,"ENSG00000007952","NOX1"
"49","ENSG00000007866",0.0793997807155128,1,"ENSG00000007866","TEAD3"
"50","ENSG00000177453",0.07869092546847,1,"ENSG00000177453","NIM1K"
"51","ENSG00000196872",0.0761635387457989,1,"ENSG00000196872","CRACDL"
"52","ENSG00000187889",0.0761168031206499,1,"ENSG00000187889","FYB2"
"53","ENSG00000143851",-0.0731374021963119,1,"ENSG00000143851","PTPN7"
"54","ENSG00000168061",-0.0721668975274717,1,"ENSG00000168061","SAC3D1"
"55","ENSG00000154734",0.0714930377925186,1,"ENSG00000154734","ADAMTS1"
"56","ENSG00000283154",0.0702273124161323,1,"ENSG00000283154","IQCJ-SCHIP1"
"57","ENSG00000177807",-0.0674624039360191,1,"ENSG00000177807","KCNJ10"
"58","ENSG00000111696",0.0667624732318755,1,"ENSG00000111696","NT5DC3"
"59","ENSG00000188060",-0.0655411561331044,1,"ENSG00000188060","RAB42"
"60","ENSG00000179094",0.0647438475476166,1,"ENSG00000179094","PER1"
"61","ENSG00000196136",0.0627802075335274,1,"ENSG00000196136","SERPINA3"
"62","ENSG00000139618",-0.0625805818397505,1,"ENSG00000139618","BRCA2"
"63","ENSG00000016402",0.0619849869657025,1,"ENSG00000016402","IL20RA"
"64","ENSG00000196549",0.061914999001396,1,"ENSG00000196549","MME"
"65","ENSG00000169550",0.0605809685335056,1,"ENSG00000169550","MUC15"
"66","ENSG00000113389",0.0603217655615556,1,"ENSG00000113389","NPR3"
"67","ENSG00000115963",0.0599809866229836,1,"ENSG00000115963","RND3"
"68","ENSG00000184060",-0.0596970704936197,1,"ENSG00000184060","ADAP2"
"69","ENSG00000131355",0.0580303623827163,1,"ENSG00000131355","ADGRE3"
"70","ENSG00000115520",0.0570270817997848,1,"ENSG00000115520","COQ10B"
"71","ENSG00000100429",-0.0563904166935884,1,"ENSG00000100429","HDAC10"
"72","ENSG00000135916",-0.0549816754716555,1,"ENSG00000135916","ITM2C"
"73","ENSG00000165389",0.0544599196142897,1,"ENSG00000165389","SPTSSA"
"74","ENSG00000164619",0.0540554455031358,1,"ENSG00000164619","BMPER"
"75","ENSG00000165637",0.0530032107069765,1,"ENSG00000165637","VDAC2"
