"","name","value.var","comp","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000119138",0.146510065245044,1,"ENSG00000119138","KLF9"
"2","ENSG00000185950",0.131460954424984,1,"ENSG00000185950","IRS2"
"3","ENSG00000001561",0.13022982274836,1,"ENSG00000001561","ENPP4"
"4","ENSG00000137269",0.120996204664921,1,"ENSG00000137269","LRRC1"
"5","ENSG00000168309",0.115768759848167,1,"ENSG00000168309","FAM107A"
"6","ENSG00000101160",-0.11401742347077,1,"ENSG00000101160","CTSZ"
"7","ENSG00000104835",-0.113737109657346,1,"ENSG00000104835","SARS2"
"8","ENSG00000154319",0.113715636515019,1,"ENSG00000154319","FAM167A"
"9","ENSG00000108515",-0.109318449014727,1,"ENSG00000108515","ENO3"
"10","ENSG00000087495",0.108371673446491,1,"ENSG00000087495","PHACTR3"
"11","ENSG00000154153",0.107131069792123,1,"ENSG00000154153","RETREG1"
"12","ENSG00000157557",0.102950140042463,1,"ENSG00000157557","ETS2"
"13","ENSG00000056558",-0.10038718902078,1,"ENSG00000056558","TRAF1"
"14","ENSG00000157445",0.0956964915610357,1,"ENSG00000157445","CACNA2D3"
"15","ENSG00000160791",-0.0953845907609435,1,"ENSG00000160791","CCR5"
"16","ENSG00000100234",0.0910179823450255,1,"ENSG00000100234","TIMP3"
"17","ENSG00000156049",0.0906732457546685,1,"ENSG00000156049","GNA14"
"18","ENSG00000148498",0.090005097961977,1,"ENSG00000148498","PARD3"
"19","ENSG00000196814",0.0893567130455335,1,"ENSG00000196814","MVB12B"
"20","ENSG00000117594",0.0891026419687166,1,"ENSG00000117594","HSD11B1"
"21","ENSG00000197121",0.0885049375147039,1,"ENSG00000197121","PGAP1"
"22","ENSG00000164176",0.0883338092889699,1,"ENSG00000164176","EDIL3"
"23","ENSG00000179583",-0.0877580266485161,1,"ENSG00000179583","CIITA"
"24","ENSG00000239306",-0.08757937197571,1,"ENSG00000239306","RBM14"
"25","ENSG00000168994",0.0865195615952147,1,"ENSG00000168994","PXDC1"
"26","ENSG00000104081",-0.0856602234190673,1,"ENSG00000104081","BMF"
"27","ENSG00000165025",-0.0847781607438382,1,"ENSG00000165025","SYK"
"28","ENSG00000086696",0.0840381751579496,1,"ENSG00000086696","HSD17B2"
"29","ENSG00000179051",-0.0834103630988,1,"ENSG00000179051","RCC2"
"30","ENSG00000214756",-0.0824178859050853,1,"ENSG00000214756","CSKMT"
"31","ENSG00000164611",-0.0806549380492901,1,"ENSG00000164611","PTTG1"
"32","ENSG00000171425",-0.080203750224442,1,"ENSG00000171425","ZNF581"
"33","ENSG00000069702",0.079762116827811,1,"ENSG00000069702","TGFBR3"
"34","ENSG00000151689",0.0794642322963111,1,"ENSG00000151689","INPP1"
"35","ENSG00000177051",-0.0792375673720931,1,"ENSG00000177051","FBXO46"
"36","ENSG00000170476",-0.0787630521991532,1,"ENSG00000170476","MZB1"
"37","ENSG00000007933",0.0786438431665653,1,"ENSG00000007933","FMO3"
"38","ENSG00000196535",-0.0783342404098923,1,"ENSG00000196535","MYO18A"
"39","ENSG00000100532",0.0775313989665137,1,"ENSG00000100532","CGRRF1"
"40","ENSG00000102010",0.0768272064704155,1,"ENSG00000102010","BMX"
"41","ENSG00000151967",0.0762530295040774,1,"ENSG00000151967","SCHIP1"
"42","ENSG00000095585",-0.0760991176370857,1,"ENSG00000095585","BLNK"
"43","ENSG00000161896",0.0760723424374477,1,"ENSG00000161896","IP6K3"
"44","ENSG00000206538",0.07544377360902,1,"ENSG00000206538","VGLL3"
"45","ENSG00000116285",0.0752518117909489,1,"ENSG00000116285","ERRFI1"
"46","ENSG00000086189",0.0750926616089411,1,"ENSG00000086189","DIMT1"
"47","ENSG00000181634",-0.0742859096441715,1,"ENSG00000181634","TNFSF15"
"48","ENSG00000007952",0.0740808700401058,1,"ENSG00000007952","NOX1"
"49","ENSG00000007866",0.0737159207733647,1,"ENSG00000007866","TEAD3"
"50","ENSG00000177453",0.0734193650488548,1,"ENSG00000177453","NIM1K"
"51","ENSG00000196872",0.0723620109504189,1,"ENSG00000196872","CRACDL"
"52","ENSG00000187889",0.0723424586973542,1,"ENSG00000187889","FYB2"
"53","ENSG00000143851",-0.0710960005475293,1,"ENSG00000143851","PTPN7"
"54","ENSG00000168061",-0.0706899815240279,1,"ENSG00000168061","SAC3D1"
"55","ENSG00000154734",0.0704080664747273,1,"ENSG00000154734","ADAMTS1"
"56","ENSG00000283154",0.069878539314435,1,"ENSG00000283154","IQCJ-SCHIP1"
"57","ENSG00000177807",-0.0687218159341056,1,"ENSG00000177807","KCNJ10"
"58","ENSG00000111696",0.0684289938693188,1,"ENSG00000111696","NT5DC3"
"59","ENSG00000188060",-0.067918045296118,1,"ENSG00000188060","RAB42"
"60","ENSG00000179094",0.0675844843523093,1,"ENSG00000179094","PER1"
"61","ENSG00000196136",0.0667629785660656,1,"ENSG00000196136","SERPINA3"
"62","ENSG00000139618",-0.0666794634302241,1,"ENSG00000139618","BRCA2"
"63","ENSG00000016402",0.0664302911625085,1,"ENSG00000016402","IL20RA"
"64","ENSG00000196549",0.0664010110922142,1,"ENSG00000196549","MME"
"65","ENSG00000169550",0.0658429079060221,1,"ENSG00000169550","MUC15"
"66","ENSG00000113389",0.0657344681004872,1,"ENSG00000113389","NPR3"
"67","ENSG00000115963",0.0655919002836479,1,"ENSG00000115963","RND3"
"68","ENSG00000184060",-0.0654731215149292,1,"ENSG00000184060","ADAP2"
"69","ENSG00000131355",0.0647758397589747,1,"ENSG00000131355","ADGRE3"
"70","ENSG00000115520",0.0643561086482871,1,"ENSG00000115520","COQ10B"
"71","ENSG00000100429",-0.0640897542936768,1,"ENSG00000100429","HDAC10"
"72","ENSG00000135916",-0.0635003952172502,1,"ENSG00000135916","ITM2C"
"73","ENSG00000165389",0.0632821141409036,1,"ENSG00000165389","SPTSSA"
"74","ENSG00000164619",0.0631128988976235,1,"ENSG00000164619","BMPER"
"75","ENSG00000165637",0.0626726873683566,1,"ENSG00000165637","VDAC2"
"76","ENSG00000117479",0.0618804363094263,1,"ENSG00000117479","SLC19A2"
"77","ENSG00000157350",-0.0615409883111112,1,"ENSG00000157350","ST3GAL2"
"78","ENSG00000071246",-0.0614761010253545,1,"ENSG00000071246","VASH1"
"79","ENSG00000124608",-0.0612207437212945,1,"ENSG00000124608","AARS2"
"80","ENSG00000211445",0.060625130883464,1,"ENSG00000211445","GPX3"
"81","ENSG00000264230",0.060573761023482,1,"ENSG00000264230","ANXA8L1"
"82","ENSG00000189292",0.0605536241999975,1,"ENSG00000189292","ALKAL2"
"83","ENSG00000131016",0.060445183892079,1,"ENSG00000131016","AKAP12"
"84","ENSG00000136826",0.0602591487052505,1,"ENSG00000136826","KLF4"
"85","ENSG00000104671",0.0599953971463377,1,"ENSG00000104671","DCTN6"
"86","ENSG00000163013",-0.0598643441033137,1,"ENSG00000163013","FBXO41"
"87","ENSG00000117724",-0.0595436994004688,1,"ENSG00000117724","CENPF"
"88","ENSG00000168016",-0.0587831223624962,1,"ENSG00000168016","TRANK1"
"89","ENSG00000026751",-0.0586037352511826,1,"ENSG00000026751","SLAMF7"
"90","ENSG00000112984",-0.0583602448292944,1,"ENSG00000112984","KIF20A"
"91","ENSG00000251380",-0.058313120984336,1,"ENSG00000251380","DCANP1"
"92","ENSG00000178726",0.0580503836650014,1,"ENSG00000178726","THBD"
"93","ENSG00000134986",-0.0579639490802556,1,"ENSG00000134986","NREP"
"94","ENSG00000089123",0.0579564460794025,1,"ENSG00000089123","TASP1"
"95","ENSG00000076043",0.0578192500669172,1,"ENSG00000076043","REXO2"
"96","ENSG00000114098",0.0575361876254149,1,"ENSG00000114098","ARMC8"
"97","ENSG00000111666",0.0574244449830313,1,"ENSG00000111666","CHPT1"
"98","ENSG00000089012",-0.0573691649510909,1,"ENSG00000089012","SIRPG"
"99","ENSG00000152689",-0.0572097846231162,1,"ENSG00000152689","RASGRP3"
"100","ENSG00000128203",-0.0570714843711325,1,"ENSG00000128203","ASPHD2"
"101","ENSG00000080371",0.0569941887450376,1,"ENSG00000080371","RAB21"
"102","ENSG00000109846",0.0565608918326485,1,"ENSG00000109846","CRYAB"
"103","ENSG00000164823",0.0565200339819258,1,"ENSG00000164823","OSGIN2"
"104","ENSG00000168497",0.0565070507894468,1,"ENSG00000168497","CAVIN2"
"105","ENSG00000221968",0.0555579041863243,1,"ENSG00000221968","FADS3"
"106","ENSG00000168542",-0.054888810974333,1,"ENSG00000168542","COL3A1"
"107","ENSG00000172819",-0.0545086621980291,1,"ENSG00000172819","RARG"
"108","ENSG00000140368",-0.0542083754504519,1,"ENSG00000140368","PSTPIP1"
"109","ENSG00000144554",-0.0539788391783456,1,"ENSG00000144554","FANCD2"
"110","ENSG00000139626",-0.053426501398883,1,"ENSG00000139626","ITGB7"
"111","ENSG00000132122",0.0533758782591579,1,"ENSG00000132122","SPATA6"
"112","ENSG00000169085",0.053148276821703,1,"ENSG00000169085","VXN"
"113","ENSG00000136802",0.0531423571806717,1,"ENSG00000136802","LRRC8A"
"114","ENSG00000155755",0.0529045647806047,1,"ENSG00000155755","TMEM237"
"115","ENSG00000102760",0.0523398976252926,1,"ENSG00000102760","RGCC"
"116","ENSG00000162407",0.0518397975100698,1,"ENSG00000162407","PLPP3"
"117","ENSG00000173193",-0.0510557649464937,1,"ENSG00000173193","PARP14"
"118","ENSG00000055813",0.0509310908939376,1,"ENSG00000055813","CCDC85A"
"119","ENSG00000124256",-0.0505027819420328,1,"ENSG00000124256","ZBP1"
"120","ENSG00000140945",0.050474464471352,1,"ENSG00000140945","CDH13"
"121","ENSG00000165410",0.0502991512628202,1,"ENSG00000165410","CFL2"
"122","ENSG00000149090",-0.0502813376623012,1,"ENSG00000149090","PAMR1"
"123","ENSG00000106125",0.0502607462123002,1,"ENSG00000106125","MINDY4"
"124","ENSG00000092820",0.0502473776886687,1,"ENSG00000092820","EZR"
"125","ENSG00000027697",0.0501205143047003,1,"ENSG00000027697","IFNGR1"
"126","ENSG00000171612",0.0496970421611688,1,"ENSG00000171612","SLC25A33"
"127","ENSG00000102547",0.0495263242816282,1,"ENSG00000102547","CAB39L"
"128","ENSG00000159921",0.0491748794471767,1,"ENSG00000159921","GNE"
"129","ENSG00000129460",0.0490878562274277,1,"ENSG00000129460","NGDN"
"130","ENSG00000144655",0.0490812788830777,1,"ENSG00000144655","CSRNP1"
"131","ENSG00000060138",0.048774065478457,1,"ENSG00000060138","YBX3"
"132","ENSG00000125354",-0.0484836232517653,1,"ENSG00000125354","SEPTIN6"
"133","ENSG00000099860",0.0482766396778402,1,"ENSG00000099860","GADD45B"
"134","ENSG00000177464",0.0482521852452413,1,"ENSG00000177464","GPR4"
"135","ENSG00000118523",0.0481085752413133,1,"ENSG00000118523","CCN2"
"136","ENSG00000125821",0.0480022314856531,1,"ENSG00000125821","DTD1"
"137","ENSG00000155011",0.0479776706014468,1,"ENSG00000155011","DKK2"
"138","ENSG00000124508",-0.0479539146828585,1,"ENSG00000124508","BTN2A2"
"139","ENSG00000116016",0.0478973162650607,1,"ENSG00000116016","EPAS1"
"140","ENSG00000175137",-0.047842900253292,1,"ENSG00000175137","SH3BP5L"
"141","ENSG00000166411",0.0478137580628946,1,"ENSG00000166411","IDH3A"
"142","ENSG00000158246",0.0477736402335751,1,"ENSG00000158246","TENT5B"
"143","ENSG00000139517",0.0477102319018374,1,"ENSG00000139517","LNX2"
"144","ENSG00000083937",0.0476163068900288,1,"ENSG00000083937","CHMP2B"
"145","ENSG00000179604",0.0476061417375183,1,"ENSG00000179604","CDC42EP4"
"146","ENSG00000100055",-0.0471067518723278,1,"ENSG00000100055","CYTH4"
"147","ENSG00000137265",-0.0466019634924543,1,"ENSG00000137265","IRF4"
"148","ENSG00000111339",0.0465282444029688,1,"ENSG00000111339","ART4"
"149","ENSG00000135298",0.046474062306662,1,"ENSG00000135298","ADGRB3"
"150","ENSG00000204291",-0.0463587748080391,1,"ENSG00000204291","COL15A1"
"151","ENSG00000237649",-0.0463559402600293,1,"ENSG00000237649","KIFC1"
"152","ENSG00000086544",0.0460220048894464,1,"ENSG00000086544","ITPKC"
"153","ENSG00000163157",-0.0458084664620817,1,"ENSG00000163157","TMOD4"
"154","ENSG00000164929",0.0454982066842015,1,"ENSG00000164929","BAALC"
"155","ENSG00000137185",-0.0450724647895938,1,"ENSG00000137185","ZSCAN9"
"156","ENSG00000106366",0.0449773248568411,1,"ENSG00000106366","SERPINE1"
"157","ENSG00000100888",-0.0449315373833162,1,"ENSG00000100888","CHD8"
"158","ENSG00000189058",0.0447167155645928,1,"ENSG00000189058","APOD"
"159","ENSG00000163348",-0.0441458425988306,1,"ENSG00000163348","PYGO2"
"160","ENSG00000175063",-0.0441295870831869,1,"ENSG00000175063","UBE2C"
"161","ENSG00000176597",0.0436894313279551,1,"ENSG00000176597","B3GNT5"
"162","ENSG00000136546",0.0436628482680636,1,"ENSG00000136546","SCN7A"
"163","ENSG00000184221",-0.0432151183012427,1,"ENSG00000184221","OLIG1"
"164","ENSG00000253368",0.0429965326727834,1,"ENSG00000253368","TRNP1"
"165","ENSG00000141448",0.0426409056635081,1,"ENSG00000141448","GATA6"
"166","ENSG00000165030",0.0424328924061557,1,"ENSG00000165030","NFIL3"
"167","ENSG00000196139",0.0422093318068835,1,"ENSG00000196139","AKR1C3"
"168","ENSG00000165458",-0.0421248319375886,1,"ENSG00000165458","INPPL1"
"169","ENSG00000143494",-0.0419107662463855,1,"ENSG00000143494","VASH2"
"170","ENSG00000241935",0.0416015346521057,1,"ENSG00000241935","HOGA1"
"171","ENSG00000006831",0.0412914148043036,1,"ENSG00000006831","ADIPOR2"
"172","ENSG00000151117",-0.0408042958968666,1,"ENSG00000151117","TMEM86A"
"173","ENSG00000141744",0.0407358614832184,1,"ENSG00000141744","PNMT"
"174","ENSG00000128322",-0.0405404566553157,1,"ENSG00000128322","IGLL1"
"175","ENSG00000123975",-0.0404983356680151,1,"ENSG00000123975","CKS2"
"176","ENSG00000158457",-0.0401795091848336,1,"ENSG00000158457","TSPAN33"
"177","ENSG00000254959",0.0401669899466265,1,"ENSG00000254959","INMT-MINDY4"
"178","ENSG00000184557",0.0401126704071148,1,"ENSG00000184557","SOCS3"
"179","ENSG00000168517",-0.0400582573525214,1,"ENSG00000168517","HEXIM2"
"180","ENSG00000086991",0.0396055140156094,1,"ENSG00000086991","NOX4"
"181","ENSG00000148773",-0.0392850350512895,1,"ENSG00000148773","MKI67"
"182","ENSG00000152207",-0.0392778797992944,1,"ENSG00000152207","CYSLTR2"
"183","ENSG00000163464",0.0390614476274262,1,"ENSG00000163464","CXCR1"
"184","ENSG00000023734",0.0383312295975382,1,"ENSG00000023734","STRAP"
"185","ENSG00000107338",0.0382291808387406,1,"ENSG00000107338","SHB"
"186","ENSG00000046653",0.0381519349224908,1,"ENSG00000046653","GPM6B"
"187","ENSG00000133641",0.038141557398036,1,"ENSG00000133641","C12orf29"
"188","ENSG00000151422",0.0380030814463374,1,"ENSG00000151422","FER"
"189","ENSG00000179133",0.0377715420162912,1,"ENSG00000179133","C10orf67"
"190","ENSG00000168874",0.0371583648163408,1,"ENSG00000168874","ATOH8"
"191","ENSG00000149084",0.0368955044314889,1,"ENSG00000149084","HSD17B12"
"192","ENSG00000106683",-0.0368797803660796,1,"ENSG00000106683","LIMK1"
"193","ENSG00000128602",-0.0366715030602745,1,"ENSG00000128602","SMO"
"194","ENSG00000135749",-0.0364777440484955,1,"ENSG00000135749","PCNX2"
"195","ENSG00000136158",0.0363607248471271,1,"ENSG00000136158","SPRY2"
"196","ENSG00000067533",0.0361633638506025,1,"ENSG00000067533","RRP15"
"197","ENSG00000101187",0.0360670924743677,1,"ENSG00000101187","SLCO4A1"
"198","ENSG00000142583",-0.0357928984631128,1,"ENSG00000142583","SLC2A5"
"199","ENSG00000275385",-0.0357363900136284,1,"ENSG00000275385","CCL18"
"200","ENSG00000131323",-0.0357017613693611,1,"ENSG00000131323","TRAF3"
"201","ENSG00000225697",-0.0354369965332022,1,"ENSG00000225697","SLC26A6"
"202","ENSG00000102471",0.0353383436450196,1,"ENSG00000102471","NDFIP2"
"203","ENSG00000160200",0.0351100945810757,1,"ENSG00000160200","CBS"
"204","ENSG00000174132",0.0349512707896784,1,"ENSG00000174132","FAM174A"
"205","ENSG00000143297",-0.0349510271822184,1,"ENSG00000143297","FCRL5"
"206","ENSG00000188130",-0.0347430766924011,1,"ENSG00000188130","MAPK12"
"207","ENSG00000144354",-0.0346850684386854,1,"ENSG00000144354","CDCA7"
"208","ENSG00000166801",-0.0344100348275002,1,"ENSG00000166801","FAM111A"
"209","ENSG00000275074",-0.0343917029237904,1,"ENSG00000275074","NUDT18"
"210","ENSG00000106367",-0.0340357758835927,1,"ENSG00000106367","AP1S1"
"211","ENSG00000120280",-0.0339526727290376,1,"ENSG00000120280","TASL"
"212","ENSG00000120129",0.0338846059336376,1,"ENSG00000120129","DUSP1"
"213","ENSG00000120833",0.0338434260862325,1,"ENSG00000120833","SOCS2"
"214","ENSG00000113594",0.0337817044505493,1,"ENSG00000113594","LIFR"
"215","ENSG00000163221",0.0337417865902687,1,"ENSG00000163221","S100A12"
"216","ENSG00000213139",-0.0337343675432894,1,"ENSG00000213139","CRYGS"
"217","ENSG00000106258",0.0337118760319446,1,"ENSG00000106258","CYP3A5"
"218","ENSG00000150907",0.0336004969370336,1,"ENSG00000150907","FOXO1"
"219","ENSG00000089050",0.0335814692728761,1,"ENSG00000089050","RBBP9"
"220","ENSG00000213024",-0.0335327510566907,1,"ENSG00000213024","NUP62"
"221","ENSG00000196405",-0.0335070658089666,1,"ENSG00000196405","EVL"
"222","ENSG00000177432",0.0334782149384331,1,"ENSG00000177432","NAP1L5"
"223","ENSG00000143367",0.0333938195972309,1,"ENSG00000143367","TUFT1"
"224","ENSG00000103742",-0.0333912366936153,1,"ENSG00000103742","IGDCC4"
"225","ENSG00000183049",-0.033313471431936,1,"ENSG00000183049","CAMK1D"
"226","ENSG00000163421",0.0331589985116874,1,"ENSG00000163421","PROK2"
"227","ENSG00000165195",0.0326894494903014,1,"ENSG00000165195","PIGA"
"228","ENSG00000158122",0.0326386296410444,1,"ENSG00000158122","PRXL2C"
"229","ENSG00000137941",0.0325211867690451,1,"ENSG00000137941","TTLL7"
"230","ENSG00000108846",-0.0324257944859025,1,"ENSG00000108846","ABCC3"
"231","ENSG00000172465",0.032307623273102,1,"ENSG00000172465","TCEAL1"
"232","ENSG00000170381",0.0321085430109901,1,"ENSG00000170381","SEMA3E"
"233","ENSG00000187479",0.0319860851960563,1,"ENSG00000187479","C11orf96"
"234","ENSG00000156313",0.0319489947756552,1,"ENSG00000156313","RPGR"
"235","ENSG00000166741",0.0319431860507078,1,"ENSG00000166741","NNMT"
"236","ENSG00000149503",-0.0318482781421348,1,"ENSG00000149503","INCENP"
"237","ENSG00000154359",0.0316786103075438,1,"ENSG00000154359","LONRF1"
"238","ENSG00000165092",0.0312732776667212,1,"ENSG00000165092","ALDH1A1"
"239","ENSG00000119862",0.0312419700058148,1,"ENSG00000119862","LGALSL"
